run_id,controller,variant,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,aif,cooldown_1,scenario_ramp_up,0.8769,32,260,40,0.1875,0.2844,14.47,103.72,60
1,aif,cooldown_1,scenario_burst,0.7778,52,234,52,0.22,0.2667,14.23,113.56,60
1,aif,cooldown_1,scenario_steady_overload,0.9114,41,463,67,0.133,0.2566,14.72,101.17,89
1,aif,cooldown_1,scenario_oscillating,0.91,44,489,76,0.1157,0.2966,16.02,95.73,119
2,aif,cooldown_1,scenario_ramp_up,0.8605,36,258,42,0.1938,0.2687,14.49,106.33,60
2,aif,cooldown_1,scenario_burst,0.7908,50,239,49,0.2033,0.2667,14.51,114.63,60
2,aif,cooldown_1,scenario_steady_overload,0.9356,30,466,59,0.137,0.2556,14.81,99.18,90
2,aif,cooldown_1,scenario_oscillating,0.8758,61,491,78,0.1185,0.307,15.81,97.71,119
3,aif,cooldown_1,scenario_ramp_up,0.876,32,258,38,0.1938,0.2938,14.42,103.14,60
3,aif,cooldown_1,scenario_burst,0.887,27,239,44,0.2033,0.2933,14.71,103.32,60
3,aif,cooldown_1,scenario_steady_overload,0.9154,39,461,65,0.1367,0.2603,14.96,98.97,89
3,aif,cooldown_1,scenario_oscillating,0.8887,55,494,63,0.1131,0.2908,15.74,98.09,119
1,aif,cooldown_3,scenario_ramp_up,0.828,48,279,16,0.1281,0.0875,14.7,107.68,60
1,aif,cooldown_3,scenario_burst,0.827,41,237,19,0.21,0.25,14.39,112.43,60
1,aif,cooldown_3,scenario_steady_overload,0.9307,33,476,27,0.1086,0.2397,15.02,96.36,89
1,aif,cooldown_3,scenario_oscillating,0.9413,30,511,37,0.0826,0.2603,15.74,92.21,119
2,aif,cooldown_3,scenario_ramp_up,0.8801,35,292,15,0.0875,0.1094,15.07,101.47,60
2,aif,cooldown_3,scenario_burst,0.728,65,239,19,0.2033,0.1667,14.17,116.92,60
2,aif,cooldown_3,scenario_steady_overload,0.9142,41,478,29,0.1049,0.1966,14.6,101.78,89
2,aif,cooldown_3,scenario_oscillating,0.9243,39,515,36,0.0754,0.1993,15.71,97.17,119
3,aif,cooldown_3,scenario_ramp_up,0.834,43,259,19,0.1906,0.1938,14.67,105.83,60
3,aif,cooldown_3,scenario_burst,0.7029,71,239,20,0.2033,0.1067,14.27,118.13,60
3,aif,cooldown_3,scenario_steady_overload,0.9051,45,474,29,0.1124,0.2116,14.49,103.19,89
3,aif,cooldown_3,scenario_oscillating,0.9206,40,504,36,0.0952,0.2136,15.97,94.36,119
1,aif,cooldown_5,scenario_ramp_up,0.7331,75,281,11,0.1219,0.025,14.32,114.74,60
1,aif,cooldown_5,scenario_burst,0.8415,45,284,12,0.0533,0.07,15.17,106.97,60
1,aif,cooldown_5,scenario_steady_overload,0.8846,57,494,18,0.0749,0.1348,14.51,103.83,89
1,aif,cooldown_5,scenario_oscillating,0.8365,85,520,23,0.0664,0.0844,15.52,102.16,119
2,aif,cooldown_5,scenario_ramp_up,0.9446,15,271,12,0.1531,0.1688,15.16,96.81,60
2,aif,cooldown_5,scenario_burst,0.8152,51,276,12,0.08,0.0867,14.93,109.17,60
2,aif,cooldown_5,scenario_steady_overload,0.8986,49,483,17,0.0955,0.206,14.77,99.37,89
2,aif,cooldown_5,scenario_oscillating,0.9438,31,552,23,0.009,0.1436,16.06,93.12,119
3,aif,cooldown_5,scenario_ramp_up,0.9364,18,283,12,0.1156,0.1062,15.16,97.47,60
3,aif,cooldown_5,scenario_burst,0.7924,60,289,12,0.0367,0.0433,14.87,106.53,60
3,aif,cooldown_5,scenario_steady_overload,0.8943,52,492,17,0.0787,0.1517,14.46,104.2,89
3,aif,cooldown_5,scenario_oscillating,0.9353,33,510,23,0.0844,0.237,15.0,97.52,119
