run_id,controller,variant,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,aif,epistemic_0.0,scenario_ramp_up,0.9008,26,262,19,0.1812,0.2125,14.71,100.53,60
1,aif,epistemic_0.0,scenario_burst,0.8033,47,239,20,0.2033,0.1967,14.66,108.66,60
1,aif,epistemic_0.0,scenario_steady_overload,0.8946,49,465,29,0.1292,0.2303,14.4,103.28,89
1,aif,epistemic_0.0,scenario_oscillating,0.9035,50,518,34,0.07,0.2567,15.76,95.15,119
2,aif,epistemic_0.0,scenario_ramp_up,0.8804,33,276,18,0.1375,0.15,15.0,99.16,60
2,aif,epistemic_0.0,scenario_burst,0.7471,65,257,18,0.1433,0.1333,14.5,116.19,60
2,aif,epistemic_0.0,scenario_steady_overload,0.9338,31,468,29,0.1236,0.2303,14.59,99.75,89
2,aif,epistemic_0.0,scenario_oscillating,0.8938,55,518,34,0.07,0.2765,15.96,94.67,119
3,aif,epistemic_0.0,scenario_ramp_up,0.9669,9,272,19,0.15,0.2531,15.13,93.2,60
3,aif,epistemic_0.0,scenario_burst,0.6942,74,242,20,0.1933,0.1967,14.2,113.9,60
3,aif,epistemic_0.0,scenario_steady_overload,0.9017,46,468,27,0.1236,0.2322,14.55,101.25,89
3,aif,epistemic_0.0,scenario_oscillating,0.878,61,500,36,0.1023,0.2334,15.29,100.43,119
1,aif,epistemic_0.1,scenario_ramp_up,0.812,50,266,18,0.1688,0.125,14.76,105.76,60
1,aif,epistemic_0.1,scenario_burst,0.7695,59,256,19,0.1467,0.1467,14.43,117.1,60
1,aif,epistemic_0.1,scenario_steady_overload,0.9083,44,480,26,0.1011,0.1742,14.47,101.94,89
1,aif,epistemic_0.1,scenario_oscillating,0.9355,32,496,36,0.1095,0.2729,15.4,96.85,119
2,aif,epistemic_0.1,scenario_ramp_up,0.9067,25,268,18,0.1625,0.25,15.04,97.63,60
2,aif,epistemic_0.1,scenario_burst,0.8609,37,266,19,0.1133,0.1367,15.09,106.74,60
2,aif,epistemic_0.1,scenario_steady_overload,0.9177,38,462,25,0.1348,0.2509,14.68,100.37,89
2,aif,epistemic_0.1,scenario_oscillating,0.9464,27,504,35,0.0952,0.298,15.56,92.6,119
3,aif,epistemic_0.1,scenario_ramp_up,0.8717,34,265,18,0.1719,0.1844,14.27,108.17,60
3,aif,epistemic_0.1,scenario_burst,0.9341,18,273,19,0.09,0.2033,15.31,97.63,60
3,aif,epistemic_0.1,scenario_steady_overload,0.9081,43,468,29,0.1236,0.1685,14.46,102.79,89
3,aif,epistemic_0.1,scenario_oscillating,0.9455,28,514,37,0.0772,0.2639,16.06,92.22,119
1,aif,epistemic_0.3,scenario_ramp_up,0.8981,27,265,18,0.1719,0.1688,14.71,101.19,60
1,aif,epistemic_0.3,scenario_burst,0.8136,44,236,18,0.2133,0.2267,14.24,113.93,60
1,aif,epistemic_0.3,scenario_steady_overload,0.9208,38,480,28,0.1011,0.2397,14.89,95.97,89
1,aif,epistemic_0.3,scenario_oscillating,0.9212,41,520,35,0.0664,0.2478,16.13,91.72,119
2,aif,epistemic_0.3,scenario_ramp_up,0.8864,31,273,18,0.1469,0.15,14.87,98.98,60
2,aif,epistemic_0.3,scenario_burst,0.7633,58,245,19,0.1833,0.1767,14.37,115.1,60
2,aif,epistemic_0.3,scenario_steady_overload,0.9497,24,477,28,0.1067,0.2247,14.88,97.55,89
2,aif,epistemic_0.3,scenario_oscillating,0.9094,46,508,35,0.088,0.228,15.52,96.8,119
3,aif,epistemic_0.3,scenario_ramp_up,0.8577,38,267,20,0.1656,0.1938,15.06,100.65,60
3,aif,epistemic_0.3,scenario_burst,0.7849,54,251,19,0.1633,0.1567,14.58,113.78,60
3,aif,epistemic_0.3,scenario_steady_overload,0.8839,54,465,28,0.1292,0.2154,14.32,104.37,89
3,aif,epistemic_0.3,scenario_oscillating,0.9243,39,515,37,0.0754,0.2855,15.87,93.8,119
1,aif,epistemic_0.5,scenario_ramp_up,0.8949,29,276,17,0.1375,0.1313,14.86,102.15,60
1,aif,epistemic_0.5,scenario_burst,0.7702,57,248,19,0.1733,0.16,14.31,118.03,60
1,aif,epistemic_0.5,scenario_steady_overload,0.9012,48,486,28,0.0899,0.1873,14.8,101.01,89
1,aif,epistemic_0.5,scenario_oscillating,0.9314,35,510,35,0.0778,0.2604,15.92,95.65,119
2,aif,epistemic_0.5,scenario_ramp_up,0.8577,37,260,17,0.1875,0.1625,14.62,105.71,60
2,aif,epistemic_0.5,scenario_burst,0.8534,39,266,19,0.1133,0.22,15.46,100.15,60
2,aif,epistemic_0.5,scenario_steady_overload,0.8909,53,486,28,0.0899,0.1742,14.67,101.85,89
2,aif,epistemic_0.5,scenario_oscillating,0.8708,65,503,35,0.0969,0.2118,15.7,98.91,119
3,aif,epistemic_0.5,scenario_ramp_up,0.9182,22,269,19,0.1594,0.2313,14.78,98.7,60
3,aif,epistemic_0.5,scenario_burst,0.8167,46,251,20,0.1633,0.1367,14.91,110.03,60
3,aif,epistemic_0.5,scenario_steady_overload,0.8812,55,463,27,0.133,0.2247,14.43,104.81,89
3,aif,epistemic_0.5,scenario_oscillating,0.8679,67,507,38,0.0832,0.1465,15.85,99.56,119
