run_id,controller,variant,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,aif,v0_offload_bad,scenario_ramp_up,0.705,77,261,15,0.1844,0.0,13.76,126.79,60
1,aif,v0_offload_bad,scenario_burst,0.5947,92,227,18,0.2433,0.0,13.65,133.91,60
1,aif,v0_offload_bad,scenario_steady_overload,0.8974,48,468,24,0.1236,0.0243,13.85,114.27,89
1,aif,v0_offload_bad,scenario_oscillating,0.8403,80,501,24,0.1005,0.0,15.86,103.71,119
2,aif,v0_offload_bad,scenario_ramp_up,0.7528,67,271,17,0.1531,0.0,13.99,118.0,60
2,aif,v0_offload_bad,scenario_burst,0.7713,59,258,17,0.14,0.0,14.92,112.36,60
2,aif,v0_offload_bad,scenario_steady_overload,0.8891,52,469,25,0.1217,0.1105,14.21,108.24,89
2,aif,v0_offload_bad,scenario_oscillating,0.8477,76,499,23,0.1041,0.0,15.91,102.28,119
3,aif,v0_offload_bad,scenario_ramp_up,0.6973,79,261,17,0.1844,0.0,13.6,123.5,60
3,aif,v0_offload_bad,scenario_burst,0.7751,56,249,15,0.17,0.03,14.95,114.68,60
3,aif,v0_offload_bad,scenario_steady_overload,0.8502,71,474,28,0.1124,0.0169,13.35,121.45,89
3,aif,v0_offload_bad,scenario_oscillating,0.833,84,503,24,0.0969,0.0,15.66,105.61,119
1,aif,v1_offload_system,scenario_ramp_up,0.8876,29,258,17,0.1938,0.2406,14.6,100.69,60
1,aif,v1_offload_system,scenario_burst,0.7161,67,236,20,0.2133,0.1533,14.27,116.63,60
1,aif,v1_offload_system,scenario_steady_overload,0.9198,38,474,28,0.1124,0.221,14.85,98.05,89
1,aif,v1_offload_system,scenario_oscillating,0.9441,29,519,35,0.0682,0.2406,16.02,93.49,119
2,aif,v1_offload_system,scenario_ramp_up,0.8774,32,261,19,0.1844,0.2062,14.42,102.2,60
2,aif,v1_offload_system,scenario_burst,0.8727,34,267,19,0.11,0.1867,15.15,103.05,60
2,aif,v1_offload_system,scenario_steady_overload,0.8538,68,465,28,0.1292,0.1985,14.35,107.45,89
2,aif,v1_offload_system,scenario_oscillating,0.9024,48,492,36,0.1167,0.2513,15.39,99.63,119
3,aif,v1_offload_system,scenario_ramp_up,0.8598,38,271,17,0.1531,0.1,14.85,103.28,60
3,aif,v1_offload_system,scenario_burst,0.7835,55,254,18,0.1533,0.1667,14.56,116.24,60
3,aif,v1_offload_system,scenario_steady_overload,0.8918,50,462,28,0.1348,0.2434,14.54,101.6,89
3,aif,v1_offload_system,scenario_oscillating,0.8909,55,504,32,0.0952,0.2388,15.35,98.23,119
