run_id,controller,variant,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,noop,offload_disabled,scenario_ramp_up,0.4594,173,320,0,0.0,0.0,11.16,136.43,60
1,heuristic,offload_disabled,scenario_ramp_up,0.7032,84,283,17,0.1156,0.0,12.54,131.44,60
1,myopic,offload_disabled,scenario_ramp_up,0.9151,27,318,9,0.0063,0.0,14.01,110.99,60
1,dqn,offload_disabled,scenario_ramp_up,0.8199,56,311,54,0.0064,0.0,13.88,109.03,59
1,aif,offload_disabled,scenario_ramp_up,0.8566,40,279,17,0.1281,0.0,14.4,111.47,60
1,noop,offload_disabled,scenario_burst,0.54,138,300,0,0.0,0.0,12.57,124.1,60
1,heuristic,offload_disabled,scenario_burst,0.6852,85,270,17,0.1,0.0,13.84,127.78,60
1,myopic,offload_disabled,scenario_burst,0.83,51,300,7,0.0,0.0,15.04,109.75,60
1,dqn,offload_disabled,scenario_burst,0.5495,100,222,50,0.2423,0.0,12.12,149.84,59
1,aif,offload_disabled,scenario_burst,0.7137,71,248,18,0.1733,0.0,14.81,116.95,60
1,noop,offload_disabled,scenario_steady_overload,0.8759,67,540,0,0.0,0.0,10.92,130.73,90
1,heuristic,offload_disabled,scenario_steady_overload,0.8951,54,515,28,0.0463,0.0,12.23,118.26,90
1,myopic,offload_disabled,scenario_steady_overload,0.9176,44,534,7,0.0111,0.0,13.96,112.39,90
1,dqn,offload_disabled,scenario_steady_overload,0.8394,71,442,87,0.1629,0.0,11.89,130.59,88
1,aif,offload_disabled,scenario_steady_overload,0.8973,49,477,20,0.1067,0.0,13.86,113.73,89
1,noop,offload_disabled,scenario_oscillating,0.6948,170,557,0,0.0,0.0,12.93,117.76,119
1,heuristic,offload_disabled,scenario_oscillating,0.7735,113,499,31,0.0976,0.0,14.02,115.29,119
1,myopic,offload_disabled,scenario_oscillating,0.9024,53,543,16,0.0181,0.0,16.23,99.72,119
1,dqn,offload_disabled,scenario_oscillating,0.931,38,551,14,0.0,0.0,16.55,89.73,117
1,aif,offload_disabled,scenario_oscillating,0.8569,72,503,25,0.0921,0.0,16.01,101.61,119
1,noop,offload_enabled,scenario_ramp_up,0.5031,159,320,0,0.0,0.0,11.67,131.05,60
1,heuristic,offload_enabled,scenario_ramp_up,0.7932,61,295,24,0.0781,0.0969,12.9,116.8,60
1,myopic,offload_enabled,scenario_ramp_up,0.9062,30,320,9,0.0,0.0063,14.1,111.69,60
1,dqn,offload_enabled,scenario_ramp_up,0.8997,30,299,20,0.0447,0.1757,15.63,94.64,59
1,aif,offload_enabled,scenario_ramp_up,0.8909,30,275,17,0.1406,0.1031,14.86,100.11,60
1,noop,offload_enabled,scenario_burst,0.5367,139,300,0,0.0,0.0,12.65,126.03,60
1,heuristic,offload_enabled,scenario_burst,0.8866,33,291,17,0.03,0.05,13.92,107.43,60
1,myopic,offload_enabled,scenario_burst,0.82,54,300,7,0.0,0.0,14.97,110.89,60
1,dqn,offload_enabled,scenario_burst,0.875,37,296,58,0.0,0.2872,14.64,105.49,59
1,aif,offload_enabled,scenario_burst,0.78,55,250,19,0.1667,0.1467,14.67,115.0,60
1,noop,offload_enabled,scenario_steady_overload,0.8519,80,540,0,0.0,0.0,10.93,129.24,90
1,heuristic,offload_enabled,scenario_steady_overload,0.9081,49,533,37,0.013,0.0389,12.98,109.67,90
1,myopic,offload_enabled,scenario_steady_overload,0.9481,28,540,7,0.0,0.0111,14.13,110.99,90
1,dqn,offload_enabled,scenario_steady_overload,0.9533,23,493,51,0.0663,0.233,13.72,100.97,88
1,aif,offload_enabled,scenario_steady_overload,0.9177,38,462,25,0.1348,0.2303,15.11,97.56,89
1,noop,offload_enabled,scenario_oscillating,0.6625,188,557,0,0.0,0.0,12.84,119.95,119
1,heuristic,offload_enabled,scenario_oscillating,0.9032,52,537,29,0.0289,0.0886,14.51,100.08,119
1,myopic,offload_enabled,scenario_oscillating,0.915,47,553,16,0.0,0.0181,16.31,98.46,119
1,dqn,offload_enabled,scenario_oscillating,0.9456,30,551,116,0.0,0.1325,16.47,91.16,117
1,aif,offload_enabled,scenario_oscillating,0.872,64,500,37,0.0958,0.226,15.68,99.11,119
