run_id,controller,variant,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,aif,precision_2.0,scenario_ramp_up,0.7852,58,270,20,0.1562,0.0813,13.8,118.59,60
1,aif,precision_2.0,scenario_burst,0.84,40,250,19,0.1667,0.3,14.23,106.99,60
1,aif,precision_2.0,scenario_steady_overload,0.8896,51,462,27,0.1348,0.2097,14.27,105.59,89
1,aif,precision_2.0,scenario_oscillating,0.9053,48,507,37,0.0898,0.2388,15.48,97.82,119
2,aif,precision_2.0,scenario_ramp_up,0.8185,51,281,19,0.1219,0.125,14.38,110.38,60
2,aif,precision_2.0,scenario_burst,0.7699,55,239,20,0.2033,0.16,14.27,111.19,60
2,aif,precision_2.0,scenario_steady_overload,0.9399,28,466,28,0.1273,0.2584,14.73,97.45,89
2,aif,precision_2.0,scenario_oscillating,0.862,69,500,38,0.1023,0.1724,15.39,101.72,119
3,aif,precision_2.0,scenario_ramp_up,0.8618,38,275,18,0.1406,0.1281,14.53,102.58,60
3,aif,precision_2.0,scenario_burst,0.8346,43,260,20,0.1333,0.18,14.89,111.52,60
3,aif,precision_2.0,scenario_steady_overload,0.914,41,477,29,0.1067,0.2303,14.72,98.18,89
3,aif,precision_2.0,scenario_oscillating,0.8665,65,487,38,0.1257,0.2406,15.16,102.38,119
1,aif,precision_4.0,scenario_ramp_up,0.9386,17,277,18,0.1344,0.1531,15.22,95.85,60
1,aif,precision_4.0,scenario_burst,0.8217,46,258,18,0.14,0.1867,14.98,107.57,60
1,aif,precision_4.0,scenario_steady_overload,0.9091,44,484,29,0.0936,0.1835,14.81,100.77,89
1,aif,precision_4.0,scenario_oscillating,0.8466,79,515,38,0.0754,0.1975,15.83,100.46,119
2,aif,precision_4.0,scenario_ramp_up,0.917,22,265,17,0.1719,0.1562,14.76,100.46,60
2,aif,precision_4.0,scenario_burst,0.732,67,250,19,0.1667,0.1467,14.33,117.99,60
2,aif,precision_4.0,scenario_steady_overload,0.9019,47,479,27,0.113,0.2574,14.69,100.13,90
2,aif,precision_4.0,scenario_oscillating,0.9226,39,504,37,0.0952,0.1724,15.61,99.06,119
3,aif,precision_4.0,scenario_ramp_up,0.8763,35,283,18,0.1156,0.075,14.99,103.87,60
3,aif,precision_4.0,scenario_burst,0.9046,25,262,19,0.1267,0.2833,15.62,95.97,60
3,aif,precision_4.0,scenario_steady_overload,0.9101,41,456,28,0.1461,0.2285,14.36,103.24,89
3,aif,precision_4.0,scenario_oscillating,0.9262,38,515,35,0.0687,0.2297,15.87,94.69,119
1,aif,precision_6.0,scenario_ramp_up,0.8727,34,267,20,0.1656,0.1656,15.18,98.81,60
1,aif,precision_6.0,scenario_burst,0.7686,59,255,20,0.15,0.1467,14.82,113.65,60
1,aif,precision_6.0,scenario_steady_overload,0.8981,48,471,25,0.118,0.2547,14.81,98.59,89
1,aif,precision_6.0,scenario_oscillating,0.8844,57,493,35,0.1085,0.2712,15.43,100.5,119
2,aif,precision_6.0,scenario_ramp_up,0.8826,31,264,20,0.175,0.2,14.76,102.01,60
2,aif,precision_6.0,scenario_burst,0.7928,52,251,19,0.1633,0.1633,14.5,112.01,60
2,aif,precision_6.0,scenario_steady_overload,0.9167,38,456,24,0.1461,0.2172,14.7,102.24,89
2,aif,precision_6.0,scenario_oscillating,0.9024,49,502,36,0.0987,0.2675,15.76,96.26,119
3,aif,precision_6.0,scenario_ramp_up,0.8295,45,264,20,0.175,0.1844,14.83,106.37,60
3,aif,precision_6.0,scenario_burst,0.7432,66,257,19,0.1433,0.13,14.95,114.48,60
3,aif,precision_6.0,scenario_steady_overload,0.902,45,459,27,0.1404,0.2172,14.66,102.68,89
3,aif,precision_6.0,scenario_oscillating,0.8927,53,494,34,0.1131,0.2424,15.5,99.2,119
1,aif,precision_8.0,scenario_ramp_up,0.8978,28,274,19,0.1437,0.2156,15.33,97.84,60
1,aif,precision_8.0,scenario_burst,0.8115,49,260,18,0.1333,0.1767,14.73,111.79,60
1,aif,precision_8.0,scenario_steady_overload,0.9358,31,483,25,0.0955,0.2247,15.05,95.8,89
1,aif,precision_8.0,scenario_oscillating,0.9477,28,535,34,0.0395,0.2244,16.26,89.95,119
2,aif,precision_8.0,scenario_ramp_up,0.8614,37,267,17,0.1656,0.1719,14.91,101.35,60
2,aif,precision_8.0,scenario_burst,0.8228,45,254,18,0.1533,0.1667,14.73,111.82,60
2,aif,precision_8.0,scenario_steady_overload,0.9107,41,459,20,0.1404,0.2303,14.75,101.78,89
2,aif,precision_8.0,scenario_oscillating,0.9015,47,477,37,0.1436,0.2262,14.98,102.59,119
3,aif,precision_8.0,scenario_ramp_up,0.937,17,270,19,0.1562,0.2313,15.17,97.1,60
3,aif,precision_8.0,scenario_burst,0.8438,40,256,19,0.1467,0.1967,15.05,106.93,60
3,aif,precision_8.0,scenario_steady_overload,0.907,45,484,26,0.0936,0.2022,14.85,99.7,89
3,aif,precision_8.0,scenario_oscillating,0.937,32,508,33,0.088,0.298,15.65,92.79,119
