run_id,controller,variant,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,aif,skip_baseline,scenario_ramp_up,0.8669,37,278,16,0.1313,0.1219,14.89,103.07,60
1,aif,skip_baseline,scenario_burst,0.7581,60,248,19,0.1733,0.1667,14.38,118.67,60
1,aif,skip_baseline,scenario_steady_overload,0.9317,33,483,29,0.0955,0.2322,15.11,94.93,89
1,aif,skip_baseline,scenario_oscillating,0.8802,60,501,38,0.1005,0.1921,15.67,100.17,119
2,aif,skip_baseline,scenario_ramp_up,0.8921,30,278,15,0.1313,0.125,15.05,99.04,60
2,aif,skip_baseline,scenario_burst,0.757,61,251,19,0.1633,0.18,14.36,115.37,60
2,aif,skip_baseline,scenario_steady_overload,0.8925,50,465,27,0.1292,0.2154,14.64,102.16,89
2,aif,skip_baseline,scenario_oscillating,0.9404,31,520,38,0.0664,0.1957,16.04,92.63,119
3,aif,skip_baseline,scenario_ramp_up,0.8364,45,275,19,0.1406,0.1594,15.01,104.1,60
3,aif,skip_baseline,scenario_burst,0.7306,66,245,19,0.1833,0.1833,14.32,119.32,60
3,aif,skip_baseline,scenario_steady_overload,0.8978,47,460,25,0.1386,0.2416,14.8,99.86,89
3,aif,skip_baseline,scenario_oscillating,0.8531,72,490,35,0.1203,0.2047,15.12,105.49,119
1,aif,skip_mild,scenario_ramp_up,0.9043,27,282,20,0.1187,0.2031,15.56,95.7,60
1,aif,skip_mild,scenario_burst,0.9197,22,274,19,0.0867,0.2067,15.48,97.79,60
1,aif,skip_mild,scenario_steady_overload,0.8973,49,477,29,0.1067,0.1966,14.64,100.89,89
1,aif,skip_mild,scenario_oscillating,0.9701,16,536,36,0.0377,0.2998,16.4,85.84,119
2,aif,skip_mild,scenario_ramp_up,0.9222,21,270,18,0.1562,0.2313,15.19,95.36,60
2,aif,skip_mild,scenario_burst,0.886,31,272,19,0.0933,0.1933,15.76,97.92,60
2,aif,skip_mild,scenario_steady_overload,0.8933,51,478,26,0.1049,0.2079,14.81,98.81,89
2,aif,skip_mild,scenario_oscillating,0.9467,28,525,36,0.0575,0.219,16.08,92.21,119
3,aif,skip_mild,scenario_ramp_up,0.9426,17,296,15,0.075,0.0844,15.21,96.89,60
3,aif,skip_mild,scenario_burst,0.9164,23,275,19,0.0833,0.23,15.8,97.22,60
3,aif,skip_mild,scenario_steady_overload,0.9417,28,480,26,0.1011,0.2472,15.08,95.46,89
3,aif,skip_mild,scenario_oscillating,0.9327,36,535,38,0.0395,0.2262,16.26,91.17,119
1,aif,skip_moderate,scenario_ramp_up,0.9563,14,320,13,0.0,0.1187,15.81,91.37,60
1,aif,skip_moderate,scenario_burst,0.9036,27,280,18,0.0667,0.18,15.48,102.6,60
1,aif,skip_moderate,scenario_steady_overload,0.9106,43,481,27,0.0993,0.1891,14.87,98.57,89
1,aif,skip_moderate,scenario_oscillating,0.9487,28,546,38,0.0127,0.2514,16.72,87.11,119
2,aif,skip_moderate,scenario_ramp_up,0.9572,13,304,18,0.05,0.1938,15.88,89.53,60
2,aif,skip_moderate,scenario_burst,0.9263,21,285,19,0.05,0.2167,15.87,95.81,60
2,aif,skip_moderate,scenario_steady_overload,0.8896,54,489,27,0.0843,0.2191,15.05,99.12,89
2,aif,skip_moderate,scenario_oscillating,0.9563,24,549,36,0.0144,0.237,16.57,88.3,119
3,aif,skip_moderate,scenario_ramp_up,0.9503,15,302,18,0.0563,0.1313,15.64,91.09,60
3,aif,skip_moderate,scenario_burst,0.9209,22,278,19,0.0733,0.3067,16.18,91.63,60
3,aif,skip_moderate,scenario_steady_overload,0.9184,42,515,29,0.0356,0.2228,15.23,94.97,89
3,aif,skip_moderate,scenario_oscillating,0.9467,29,544,34,0.0233,0.2244,16.27,91.65,119
