step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,45.2,4,0,0,0,12.41,295.35,noop
1,4,78.4,4,0,0,0,14.86,89.17,2_LITE
2,4,36.5,3,1,0,0,13.86,137.59,1_OFFLOAD
3,4,45.5,2,1,0,1,16.07,114.31,2_SKIP
4,4,54.8,2,0,1,1,16.73,76.11,noop
5,4,52.8,2,0,1,1,16.07,80.99,2_LITE
6,4,56.1,2,1,0,1,16.18,89.64,0_SKIP
7,4,51.2,1,1,1,1,16.35,77.39,noop
8,4,54.8,1,1,1,1,14.37,93.0,noop
9,4,67.0,1,1,1,1,15.34,86.0,noop
10,4,49.3,1,1,1,1,14.64,86.93,noop
11,4,64.0,1,1,1,1,14.5,92.51,noop
12,4,49.9,1,1,1,1,14.98,87.89,noop
13,4,59.6,1,1,1,1,15.62,83.28,noop
14,4,61.3,1,1,1,1,14.78,84.58,noop
15,7,36.9,4,1,1,1,9.6,188.26,0_LITE
16,7,61.1,4,2,0,1,11.13,155.79,4_OFFLOAD
17,7,51.4,3,2,0,2,13.74,101.49,2_SKIP
18,7,49.1,3,1,1,2,11.68,113.43,0_SKIP
19,7,29.9,3,0,2,2,10.99,133.31,2_LITE
20,7,59.4,3,1,1,2,10.86,151.8,2_SKIP
21,7,35.1,3,0,2,2,11.6,118.89,noop
22,7,17.2,3,0,2,2,11.42,134.96,2_LITE
23,7,58.7,3,1,1,2,11.25,134.49,2_SKIP
24,7,70.4,3,0,2,2,11.16,114.87,3_LITE
25,7,46.2,2,1,2,2,10.08,139.73,3_FULL
26,7,56.4,3,0,2,2,10.68,160.51,2_LITE
27,7,45.0,3,1,1,2,11.4,115.05,2_SKIP
28,7,92.4,3,0,2,2,11.08,128.35,noop
29,7,25.2,3,0,2,2,11.29,116.11,2_LITE
30,7,39.2,3,1,1,2,11.21,126.56,2_SKIP
31,7,54.1,3,0,2,2,11.62,112.98,0_LITE
32,7,42.5,3,1,1,2,10.4,154.9,2_LITE
33,7,58.2,3,2,0,2,13.06,115.23,2_SKIP
34,4,42.2,1,1,1,1,14.25,92.81,noop
35,4,59.0,1,1,1,1,15.16,82.06,2_LITE
36,4,59.6,1,2,0,1,18.28,70.3,2_SKIP
37,4,51.9,1,1,1,1,15.11,84.27,noop
38,4,63.2,1,1,1,1,14.9,92.54,2_LITE
39,4,73.0,1,2,0,1,18.39,68.62,2_SKIP
40,4,68.1,1,1,1,1,15.94,82.93,noop
41,4,29.6,1,1,1,1,15.67,86.8,2_LITE
42,4,69.1,1,2,0,1,18.29,70.11,2_FULL
43,4,65.4,2,1,0,1,17.43,69.6,2_LITE
44,4,50.5,1,2,0,1,19.14,63.75,2_SKIP
45,4,50.3,1,1,1,1,15.77,80.74,noop
46,4,86.8,1,1,1,1,15.83,80.79,2_LITE
47,4,58.7,1,2,0,1,18.11,69.75,2_SKIP
48,4,25.1,1,1,1,1,15.44,87.76,noop
49,4,56.3,1,1,1,1,14.98,85.78,2_LITE
50,4,54.2,1,2,0,1,18.2,66.54,2_SKIP
51,4,52.0,1,1,1,1,16.64,75.7,noop
52,4,61.1,1,1,1,1,15.15,87.04,2_LITE
53,4,53.4,1,2,0,1,18.11,69.71,2_SKIP
54,4,52.5,1,1,1,1,14.2,91.59,noop
55,4,72.6,1,1,1,1,15.64,86.01,2_LITE
56,4,52.0,1,2,0,1,17.96,69.88,2_SKIP
57,4,51.8,1,1,1,1,16.08,78.8,noop
