step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,32.8,3,0,0,0,16.3,265.49,noop
1,3,87.6,3,0,0,0,16.35,74.01,1_LITE
2,3,34.6,2,1,0,0,16.14,108.94,2_LITE
3,3,53.0,1,2,0,0,19.36,92.56,0_LITE
4,3,53.6,0,3,0,0,19.94,62.21,0_FULL
5,3,62.6,1,2,0,0,20.77,55.11,0_LITE
6,3,37.9,0,3,0,0,23.38,47.14,0_FULL
7,3,69.2,1,2,0,0,19.75,65.89,0_LITE
8,3,47.9,0,3,0,0,23.29,50.39,0_FULL
9,3,52.1,1,2,0,0,20.59,58.8,0_LITE
10,6,80.2,3,3,0,0,12.32,137.96,0_OFFLOAD
11,6,68.8,3,2,0,1,15.04,94.56,5_OFFLOAD
12,6,49.5,2,2,0,2,15.68,85.27,0_LITE
13,6,77.5,2,3,0,1,16.04,84.27,5_SKIP
14,6,17.1,2,3,1,0,11.99,113.8,3_LITE
15,6,48.0,1,4,1,0,10.27,241.7,5_OFFLOAD
16,6,49.2,1,4,0,1,14.26,108.85,3_FULL
17,6,41.4,2,3,0,1,15.78,84.64,5_SKIP
18,6,50.9,2,3,1,0,13.48,98.39,3_LITE
19,6,66.2,1,4,1,0,11.69,138.56,5_OFFLOAD
20,6,67.4,1,4,0,1,14.46,103.86,3_FULL
21,6,62.1,2,3,0,1,15.41,83.56,0_FULL
22,6,56.8,3,2,0,1,15.02,88.77,0_LITE
23,6,44.1,2,3,0,1,15.98,77.69,0_FULL
24,6,50.2,3,2,0,1,14.95,79.92,0_LITE
25,6,55.8,2,3,0,1,16.21,82.8,0_FULL
26,6,48.8,3,2,0,1,14.4,87.46,0_LITE
27,6,53.2,2,3,0,1,16.03,77.32,0_FULL
28,6,73.0,3,2,0,1,15.08,84.29,0_LITE
29,6,55.2,2,3,0,1,16.35,76.68,0_FULL
30,3,50.1,1,2,0,0,20.99,59.95,0_LITE
31,3,41.7,0,3,0,0,23.48,49.24,0_FULL
32,3,78.5,1,2,0,0,20.93,55.26,0_LITE
33,3,20.0,0,3,0,0,23.12,49.07,0_FULL
34,3,63.7,1,2,0,0,20.78,54.29,0_LITE
35,3,48.5,0,3,0,0,23.72,48.63,0_FULL
36,3,64.4,1,2,0,0,20.55,60.29,0_LITE
37,3,48.8,0,3,0,0,22.96,54.27,0_FULL
38,3,72.7,1,2,0,0,20.74,56.64,0_LITE
39,3,46.4,0,3,0,0,22.77,49.99,0_FULL
40,3,67.4,1,2,0,0,20.82,55.78,0_LITE
41,3,30.3,0,3,0,0,23.25,50.01,0_FULL
42,3,70.7,1,2,0,0,20.44,60.56,0_LITE
43,3,32.0,0,3,0,0,23.39,49.33,0_FULL
44,3,75.2,1,2,0,0,20.79,58.96,0_LITE
45,3,48.8,0,3,0,0,23.23,47.25,0_FULL
46,3,60.6,1,2,0,0,20.23,59.41,0_LITE
47,3,52.2,0,3,0,0,23.16,49.99,0_OFFLOAD
48,3,33.3,0,2,0,1,21.77,63.77,0_LITE
49,6,49.6,3,3,0,0,11.9,126.8,0_OFFLOAD
50,6,61.8,3,2,0,1,14.64,100.0,0_LITE
51,6,38.9,3,3,0,0,14.37,88.23,5_OFFLOAD
52,6,49.3,2,3,0,1,15.81,82.55,3_LITE
53,6,57.4,1,4,0,1,15.94,78.6,3_FULL
54,6,76.4,2,3,0,1,15.81,83.22,3_LITE
55,6,60.5,1,4,0,1,15.5,89.59,3_FULL
56,6,74.6,2,3,0,1,16.23,76.71,3_LITE
57,6,45.6,1,4,0,1,16.16,74.3,5_SKIP
58,6,49.4,1,4,1,0,12.63,111.9,3_FULL
59,6,69.6,2,3,1,0,11.84,119.96,5_OFFLOAD
60,6,48.4,2,3,0,1,15.51,86.04,0_FULL
61,6,65.8,3,2,0,1,15.35,83.2,0_LITE
62,6,56.0,2,3,0,1,16.3,77.18,0_FULL
63,6,47.7,3,2,0,1,15.17,84.5,0_LITE
64,6,78.8,2,3,0,1,16.2,77.3,0_FULL
65,6,47.1,3,2,0,1,14.92,84.26,0_LITE
66,6,58.0,2,3,0,1,16.41,72.97,0_FULL
67,6,53.1,3,2,0,1,14.79,84.69,0_LITE
68,6,74.2,2,3,0,1,15.92,77.7,3_LITE
69,3,44.1,0,3,0,0,23.21,58.12,0_FULL
70,3,53.5,1,2,0,0,20.56,58.53,0_LITE
71,3,62.2,0,3,0,0,23.56,49.16,1_FULL
