step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,48.1,3,0,0,0,16.3,246.78,noop
1,3,26.0,3,0,0,0,17.52,66.46,0_OFFLOAD
2,3,50.1,2,0,0,1,16.29,94.54,1_LITE
3,3,51.6,1,1,0,1,18.69,74.58,noop
4,3,67.6,1,1,0,1,20.16,59.7,1_FULL
5,3,61.5,2,0,0,1,19.72,62.39,1_LITE
6,3,66.4,1,1,0,1,19.73,66.81,1_FULL
7,3,60.0,2,0,0,1,19.56,65.07,1_LITE
8,3,53.9,1,1,0,1,19.46,63.47,1_FULL
9,3,62.2,2,0,0,1,19.44,64.11,1_LITE
10,4,54.0,2,1,0,1,17.68,75.03,1_FULL
11,4,86.8,3,0,0,1,15.79,75.41,1_LITE
12,4,65.3,2,1,0,1,18.14,69.98,1_FULL
13,4,66.7,3,0,0,1,15.77,72.45,1_LITE
14,4,52.2,2,1,0,1,18.09,67.42,1_FULL
15,4,50.0,3,0,0,1,17.08,68.77,1_LITE
16,4,52.5,2,1,0,1,18.08,69.94,noop
17,4,35.2,2,1,0,1,18.05,66.39,noop
18,4,43.8,2,1,0,1,17.78,67.87,noop
19,4,53.8,2,1,0,1,18.0,66.92,noop
20,5,76.4,3,1,0,1,14.13,118.39,noop
21,5,41.8,3,1,0,1,15.63,81.58,4_LITE
22,5,74.3,2,2,0,1,16.47,98.88,noop
23,5,47.3,2,2,0,1,16.62,73.86,noop
24,5,62.1,2,2,0,1,17.4,71.59,noop
25,5,57.4,2,2,0,1,16.01,82.3,noop
26,5,62.7,2,2,0,1,17.04,72.09,noop
27,5,58.6,2,2,0,1,17.12,71.73,noop
28,5,58.5,2,2,0,1,16.97,71.99,noop
29,5,92.4,2,2,0,1,16.59,73.63,noop
30,6,36.8,3,2,0,1,14.35,101.6,noop
31,6,44.8,3,2,0,1,14.67,82.12,noop
32,6,66.2,3,2,0,1,14.67,87.07,noop
33,6,46.4,3,2,0,1,14.88,81.64,noop
34,6,56.7,3,2,0,1,15.11,78.69,noop
35,6,41.9,3,2,0,1,15.62,74.38,noop
36,6,62.4,3,2,0,1,15.21,85.64,4_OFFLOAD
37,6,39.0,3,1,0,2,14.36,82.78,4_LITE
38,6,54.5,3,2,0,1,14.69,85.52,noop
39,6,74.1,3,2,0,1,15.54,76.07,noop
40,7,74.4,4,2,0,1,13.02,150.98,noop
41,7,52.0,4,2,0,1,12.33,118.13,noop
42,7,47.8,4,2,0,1,12.48,113.03,noop
43,7,89.9,4,2,0,1,12.66,99.83,noop
44,7,59.4,4,2,0,1,12.34,102.19,noop
45,7,43.7,4,2,0,1,12.97,99.43,noop
46,7,43.8,4,2,0,1,12.91,117.41,noop
47,7,17.6,4,2,0,1,12.43,98.7,noop
48,7,28.0,4,2,0,1,12.84,105.21,noop
49,7,67.4,4,2,0,1,13.12,104.58,noop
50,7,81.3,4,2,0,1,12.66,101.97,noop
51,7,39.9,4,2,0,1,13.17,99.28,noop
52,7,51.2,4,2,0,1,11.92,115.58,noop
53,7,34.2,4,2,0,1,12.58,106.44,noop
54,7,98.5,4,2,0,1,12.65,98.24,noop
55,7,54.0,4,2,0,1,13.02,105.49,noop
56,7,25.5,4,2,0,1,12.25,102.09,noop
57,7,47.1,4,2,0,1,11.71,113.35,noop
58,7,45.2,4,2,0,1,12.57,112.58,noop
