step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,42.6,6,0,0,0,10.12,338.17,noop
1,6,50.0,6,0,0,0,6.53,355.72,5_OFFLOAD
2,6,53.2,5,0,0,1,10.81,142.27,1_LITE
3,6,46.6,4,1,0,1,12.49,135.4,3_LITE
4,6,37.3,3,2,0,1,14.37,112.93,4_LITE
5,6,61.9,2,3,0,1,14.71,118.42,0_LITE
6,6,58.5,1,4,0,1,14.58,126.16,2_SKIP
7,6,31.8,0,4,1,1,15.2,102.58,noop
8,6,42.0,0,4,1,1,14.63,92.91,2_FULL
9,6,62.3,1,4,0,1,14.4,92.4,2_SKIP
10,6,23.5,0,4,1,1,15.77,80.88,noop
11,6,28.2,0,4,1,1,16.22,95.93,2_LITE
12,6,68.6,0,5,0,1,13.59,127.92,2_SKIP
13,6,53.4,0,4,1,1,15.21,88.64,noop
14,6,20.3,0,4,1,1,15.76,78.96,2_LITE
15,6,16.9,0,5,0,1,14.74,93.5,2_SKIP
16,6,52.2,0,4,1,1,15.66,79.07,noop
17,6,34.8,0,4,1,1,15.12,82.03,2_LITE
18,6,40.6,0,5,0,1,15.55,87.81,2_SKIP
19,6,32.2,0,4,1,1,14.93,94.63,3_FULL
20,6,69.9,1,3,1,1,13.04,99.22,3_LITE
21,6,27.2,0,4,1,1,15.37,107.91,2_LITE
22,6,27.5,0,5,0,1,15.99,75.97,2_SKIP
23,6,51.1,0,4,1,1,14.88,92.92,3_FULL
24,6,66.9,1,3,1,1,12.6,111.63,3_LITE
25,6,35.1,0,4,1,1,14.83,110.91,2_LITE
26,6,54.9,0,5,0,1,15.1,88.53,2_SKIP
27,6,59.6,0,4,1,1,15.08,85.85,3_FULL
28,6,37.2,1,3,1,1,12.89,104.59,3_LITE
29,6,35.1,0,4,1,1,14.66,101.9,2_LITE
30,6,52.2,0,5,0,1,14.99,90.13,2_SKIP
31,6,60.9,0,4,1,1,15.78,81.28,3_FULL
32,6,39.7,1,3,1,1,12.49,108.24,3_LITE
33,6,44.7,0,4,1,1,14.91,91.53,2_LITE
34,6,35.8,0,5,0,1,15.46,85.1,2_FULL
35,6,65.5,1,4,0,1,14.99,86.82,2_LITE
36,6,31.7,0,5,0,1,16.41,81.08,2_FULL
37,6,40.9,1,4,0,1,15.27,83.71,2_LITE
38,6,41.9,0,5,0,1,16.62,85.9,2_FULL
39,6,71.8,1,4,0,1,14.79,101.2,2_LITE
40,6,43.2,0,5,0,1,16.84,72.14,2_FULL
41,6,53.2,1,4,0,1,15.35,88.41,2_LITE
42,6,34.8,0,5,0,1,16.47,87.26,2_SKIP
43,6,48.2,0,4,1,1,14.27,114.64,noop
44,6,23.9,0,4,1,1,15.86,80.28,2_LITE
45,6,47.5,0,5,0,1,15.13,97.88,2_SKIP
46,6,44.1,0,4,1,1,15.14,89.39,noop
47,6,40.0,0,4,1,1,15.74,75.57,2_LITE
48,6,59.4,0,5,0,1,15.85,79.32,2_SKIP
49,6,51.0,0,4,1,1,14.41,107.0,noop
50,6,34.2,0,4,1,1,15.56,79.99,2_LITE
51,6,48.0,0,5,0,1,15.04,76.81,2_SKIP
52,6,12.2,0,4,1,1,14.87,99.64,noop
53,6,36.9,0,4,1,1,15.7,89.91,2_LITE
54,6,45.0,0,5,0,1,14.72,98.43,2_SKIP
55,6,20.6,0,4,1,1,15.87,79.46,noop
56,6,69.0,0,4,1,1,15.3,85.93,2_LITE
57,6,21.6,0,5,0,1,15.38,100.1,2_SKIP
58,6,29.8,0,4,1,1,15.69,78.3,noop
59,6,39.7,0,4,1,1,15.94,77.77,2_FULL
60,6,83.2,1,4,0,1,14.7,91.18,2_SKIP
61,6,18.0,0,4,1,1,16.55,74.19,3_FULL
62,6,73.8,1,3,1,1,12.97,113.53,3_LITE
63,6,68.6,0,4,1,1,15.45,97.49,2_FULL
64,6,68.4,1,4,0,1,14.57,100.19,2_SKIP
65,6,45.8,0,4,1,1,16.25,76.4,3_FULL
66,6,60.0,1,3,1,1,13.42,112.81,3_LITE
67,6,18.4,0,4,1,1,16.06,77.37,2_LITE
68,6,50.6,0,5,0,1,14.74,90.88,2_SKIP
69,6,82.1,0,4,1,1,15.54,86.92,3_FULL
70,6,40.2,1,3,1,1,13.4,106.44,3_LITE
71,6,51.5,0,4,1,1,15.7,89.98,2_LITE
72,6,44.8,0,5,0,1,15.75,73.46,2_SKIP
73,6,48.7,0,4,1,1,14.85,94.31,3_OFFLOAD
74,6,52.8,0,3,1,2,15.19,86.68,3_LITE
75,6,51.4,0,4,1,1,15.89,96.91,2_LITE
76,6,16.2,0,5,0,1,15.05,94.64,3_OFFLOAD
77,6,34.9,0,4,0,2,16.34,74.93,3_LITE
78,6,28.7,0,5,0,1,15.96,76.05,3_OFFLOAD
79,6,63.9,0,4,0,2,15.42,96.67,3_LITE
80,6,62.1,0,5,0,1,15.8,76.13,2_SKIP
81,6,7.2,0,4,1,1,15.76,79.18,3_OFFLOAD
82,6,43.9,0,3,1,2,14.88,88.54,3_LITE
83,6,30.2,0,4,1,1,15.63,88.24,2_LITE
84,6,16.2,0,5,0,1,15.8,78.08,2_SKIP
85,6,30.2,0,4,1,1,15.63,78.18,3_OFFLOAD
86,6,24.5,0,3,1,2,14.26,107.89,3_LITE
87,6,31.4,0,4,1,1,15.48,88.79,2_LITE
