step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,51.4,6,0,0,0,11.21,356.88,noop
1,6,52.4,6,0,0,0,7.31,298.96,0_OFFLOAD
2,6,6.7,5,0,0,1,12.08,115.77,1_OFFLOAD
3,6,70.2,4,0,0,2,14.03,98.58,noop
4,6,45.6,4,0,0,2,14.62,84.58,noop
5,6,68.9,4,0,0,2,14.9,83.93,4_LITE
6,6,46.7,3,1,0,2,14.57,92.37,noop
7,6,58.8,3,1,0,2,14.87,80.22,noop
8,6,68.2,3,1,0,2,14.83,82.42,noop
9,6,50.9,3,1,0,2,14.99,78.89,noop
10,6,45.9,3,1,0,2,14.91,79.73,noop
11,6,48.8,3,1,0,2,14.63,81.16,noop
12,6,55.2,3,1,0,2,13.44,136.66,noop
13,6,86.1,3,1,0,2,14.95,84.18,noop
14,6,40.2,3,1,0,2,14.75,80.81,noop
15,6,66.6,3,1,0,2,14.97,82.97,noop
16,6,61.3,3,1,0,2,14.75,87.88,noop
17,6,52.8,3,1,0,2,15.28,80.06,noop
18,6,45.4,3,1,0,2,15.35,80.54,noop
19,6,44.1,3,1,0,2,15.35,79.77,noop
20,6,81.4,3,1,0,2,15.4,78.39,noop
21,6,76.6,3,1,0,2,15.14,83.09,noop
22,6,25.0,3,1,0,2,15.11,80.41,noop
23,6,49.6,3,1,0,2,15.31,77.99,noop
24,6,49.4,3,1,0,2,15.08,79.3,noop
25,6,46.1,3,1,0,2,14.66,82.8,noop
26,6,43.3,3,1,0,2,15.26,78.37,noop
27,6,74.4,3,1,0,2,14.8,81.76,noop
28,6,47.2,3,1,0,2,15.0,83.65,noop
29,6,53.9,3,1,0,2,14.6,89.48,noop
30,6,53.0,3,1,0,2,14.92,88.31,noop
31,6,53.9,3,1,0,2,14.74,80.94,1_FULL
32,6,88.4,4,1,0,1,13.41,95.17,4_OFFLOAD
33,6,31.7,4,0,0,2,13.49,97.93,4_LITE
34,6,66.0,4,1,0,1,13.94,97.39,4_OFFLOAD
35,6,66.7,4,0,0,2,13.97,90.28,4_LITE
36,6,52.9,4,1,0,1,14.17,84.15,4_OFFLOAD
37,6,72.7,4,0,0,2,13.92,92.45,4_LITE
38,6,73.3,4,1,0,1,12.74,98.76,4_OFFLOAD
39,6,34.1,4,0,0,2,12.9,105.6,4_LITE
40,6,36.2,4,1,0,1,13.34,100.12,4_OFFLOAD
41,6,42.7,4,0,0,2,13.65,92.59,noop
42,6,47.4,4,0,0,2,14.6,81.96,noop
43,6,82.2,4,0,0,2,14.96,79.17,noop
44,6,37.4,4,0,0,2,14.63,84.02,noop
45,6,31.2,4,0,0,2,14.77,83.73,noop
46,6,50.5,4,0,0,2,13.55,100.45,noop
47,6,51.9,4,0,0,2,13.68,88.12,noop
48,6,38.7,4,0,0,2,13.96,86.69,noop
49,6,59.0,4,0,0,2,14.55,84.21,noop
50,6,52.1,4,0,0,2,14.44,81.09,noop
51,6,74.4,4,0,0,2,14.56,82.33,noop
52,6,48.8,4,0,0,2,14.51,83.13,noop
53,6,42.8,4,0,0,2,14.79,80.5,noop
54,6,60.3,4,0,0,2,14.97,81.16,noop
55,6,32.3,4,0,0,2,14.37,84.69,noop
56,6,61.6,4,0,0,2,14.19,87.98,noop
57,6,42.2,4,0,0,2,14.38,83.6,noop
58,6,48.8,4,0,0,2,14.17,86.53,noop
59,6,50.3,4,0,0,2,14.62,80.77,noop
60,6,39.8,4,0,0,2,14.64,81.77,noop
61,6,58.3,4,0,0,2,14.53,80.86,noop
62,6,66.2,4,0,0,2,14.49,81.03,noop
63,6,57.6,4,0,0,2,14.84,80.78,noop
64,6,12.5,4,0,0,2,14.83,81.03,noop
65,6,57.8,4,0,0,2,14.61,80.08,4_LITE
66,6,44.5,4,1,0,1,14.94,82.48,4_OFFLOAD
67,6,57.8,4,0,0,2,14.38,85.8,4_LITE
68,6,71.8,4,1,0,1,14.21,94.02,4_OFFLOAD
69,6,52.1,4,0,0,2,14.56,83.68,4_LITE
70,6,66.0,4,1,0,1,14.56,85.86,4_OFFLOAD
71,6,63.8,4,0,0,2,14.52,80.98,4_LITE
72,6,30.2,4,1,0,1,13.34,93.28,4_OFFLOAD
73,6,53.2,4,0,0,2,13.34,111.29,4_LITE
74,6,25.7,4,1,0,1,13.19,93.82,4_OFFLOAD
75,6,27.2,4,0,0,2,14.24,88.89,4_LITE
76,6,80.4,4,1,0,1,12.85,92.73,4_OFFLOAD
77,6,23.3,4,0,0,2,14.6,87.02,4_LITE
78,6,57.8,4,1,0,1,14.02,85.06,4_OFFLOAD
79,6,85.0,4,0,0,2,13.7,93.32,4_LITE
80,6,53.8,4,1,0,1,13.52,90.44,4_OFFLOAD
81,6,38.1,4,0,0,2,13.82,91.41,4_LITE
82,6,80.5,4,1,0,1,13.66,92.55,4_OFFLOAD
83,6,73.6,4,0,0,2,14.5,88.05,noop
84,6,7.8,4,0,0,2,14.99,78.69,noop
85,6,63.2,4,0,0,2,14.55,87.23,noop
86,6,81.4,4,0,0,2,14.66,81.54,noop
87,6,62.0,4,0,0,2,14.72,79.16,noop
