step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,39.2,3,0,0,0,16.58,261.28,noop
1,3,28.4,3,0,0,0,18.03,67.55,noop
2,3,41.6,3,0,0,0,18.41,62.82,noop
3,3,37.2,3,0,0,0,18.53,60.86,noop
4,3,25.5,3,0,0,0,18.81,59.93,noop
5,3,82.1,3,0,0,0,18.72,59.74,noop
6,3,91.1,3,0,0,0,18.66,59.69,2_LITE
7,3,35.4,2,1,0,0,16.33,107.04,noop
8,3,79.0,2,1,0,0,20.42,56.56,noop
9,3,23.9,2,1,0,0,20.71,53.68,noop
10,6,23.1,5,1,0,0,10.8,250.96,1_LITE
11,6,16.8,4,2,0,0,11.48,210.93,1_OFFLOAD
12,6,34.5,4,1,0,1,12.06,115.25,1_SKIP
13,6,48.7,4,1,1,0,11.16,146.42,5_LITE
14,6,68.5,3,2,1,0,10.99,154.11,4_LITE
15,6,55.8,2,3,1,0,10.95,207.12,5_OFFLOAD
16,6,32.8,2,2,1,1,12.67,107.19,noop
17,6,32.8,2,2,1,1,12.75,106.72,noop
18,6,16.2,2,2,1,1,12.6,110.9,noop
19,6,30.5,2,2,1,1,12.59,102.89,noop
20,6,38.0,2,2,1,1,12.79,98.55,noop
21,6,41.6,2,2,1,1,13.29,108.71,1_OFFLOAD
22,6,58.4,2,2,0,2,14.31,88.98,1_SKIP
23,6,23.2,2,2,1,1,12.82,97.29,noop
24,6,47.3,2,2,1,1,12.47,102.57,noop
25,6,55.6,2,2,1,1,12.65,105.89,noop
26,6,46.1,2,2,1,1,13.14,100.2,noop
27,6,83.5,2,2,1,1,13.05,99.04,noop
28,6,52.8,2,2,1,1,13.18,107.59,1_OFFLOAD
29,6,27.8,2,2,0,2,14.59,89.2,1_LITE
30,3,51.4,1,2,0,0,20.66,69.91,1_FULL
31,3,66.4,2,1,0,0,19.61,57.3,noop
32,3,74.7,2,1,0,0,20.53,53.77,noop
33,3,31.4,2,1,0,0,20.7,54.11,2_FULL
34,3,59.6,3,0,0,0,18.14,69.03,noop
35,3,52.6,3,0,0,0,18.82,58.87,noop
36,3,59.5,3,0,0,0,19.49,57.96,noop
37,3,67.2,3,0,0,0,18.79,58.96,noop
38,3,40.7,3,0,0,0,18.59,59.89,noop
39,3,70.4,3,0,0,0,18.79,60.01,noop
40,3,74.1,3,0,0,0,18.47,69.09,noop
41,3,62.2,3,0,0,0,18.79,60.4,noop
42,3,42.5,3,0,0,0,18.74,60.1,noop
43,3,22.4,3,0,0,0,18.75,61.22,noop
44,3,28.8,3,0,0,0,18.23,64.43,noop
45,3,51.6,3,0,0,0,18.6,60.77,noop
46,3,34.3,3,0,0,0,18.68,59.61,noop
47,3,68.9,3,0,0,0,18.86,58.84,noop
48,3,44.8,3,0,0,0,19.0,59.76,noop
49,3,81.7,3,0,0,0,19.3,58.68,noop
50,6,60.4,6,0,0,0,9.37,209.85,2_LITE
51,6,52.6,5,1,0,0,11.02,116.2,noop
52,6,43.2,5,1,0,0,10.83,118.4,noop
53,6,36.4,5,1,0,0,10.37,121.6,noop
54,6,73.2,5,1,0,0,10.68,114.69,noop
55,6,76.7,5,1,0,0,11.12,148.11,3_LITE
56,6,72.6,4,2,0,0,12.43,116.56,noop
57,6,62.8,4,2,0,0,13.49,95.28,noop
58,6,13.7,4,2,0,0,13.13,94.11,noop
59,6,51.9,4,2,0,0,13.87,91.82,noop
60,6,64.6,4,2,0,0,13.71,85.61,noop
61,6,13.0,4,2,0,0,13.15,94.6,2_FULL
