step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,28.9,3,0,0,0,16.17,252.26,noop
1,3,73.4,3,0,0,0,16.92,67.99,1_LITE
2,3,72.0,2,1,0,0,13.91,129.97,noop
3,3,41.0,2,1,0,0,19.28,66.81,noop
4,3,78.3,2,1,0,0,20.88,55.22,0_LITE
5,3,56.8,1,2,0,0,19.7,79.27,noop
6,3,48.9,1,2,0,0,22.08,51.33,noop
7,3,57.4,1,2,0,0,22.17,51.42,2_LITE
8,3,39.7,0,3,0,0,19.82,66.46,noop
9,3,71.4,0,3,0,0,23.1,46.96,noop
10,6,72.1,3,3,0,0,12.9,126.61,1_OFFLOAD
11,6,62.6,3,2,0,1,13.98,101.0,noop
12,6,48.4,3,2,0,1,14.89,81.53,noop
13,6,70.2,3,2,0,1,14.52,91.33,5_LITE
14,6,65.7,2,3,0,1,16.26,82.93,noop
15,6,51.0,2,3,0,1,16.26,74.89,noop
16,6,35.9,2,3,0,1,15.58,83.7,3_LITE
17,6,44.7,1,4,0,1,14.54,123.62,noop
18,6,67.0,1,4,0,1,15.44,90.13,noop
19,6,55.2,1,4,0,1,16.18,75.42,4_LITE
20,6,68.5,0,5,0,1,13.63,132.35,noop
21,6,23.0,0,5,0,1,15.44,80.73,noop
22,6,74.5,0,5,0,1,15.73,84.56,3_SKIP
23,6,44.8,0,4,1,1,14.79,94.08,noop
24,6,61.1,0,4,1,1,15.78,80.72,noop
25,6,73.7,0,4,1,1,14.0,125.11,2_OFFLOAD
26,6,53.2,0,3,1,2,14.91,93.08,noop
27,6,40.3,0,3,1,2,14.91,99.71,noop
28,6,16.4,0,3,1,2,14.97,94.0,noop
29,6,26.0,0,3,1,2,15.65,83.17,3_LITE
30,3,33.7,0,1,0,2,18.52,74.99,noop
31,3,43.2,0,1,0,2,19.7,68.54,noop
32,3,30.4,0,1,0,2,19.03,70.54,2_LITE
33,3,42.9,0,2,0,1,21.8,60.91,noop
34,3,42.3,0,2,0,1,22.32,55.92,noop
35,3,36.4,0,2,0,1,22.32,56.47,0_OFFLOAD
36,3,31.9,0,1,0,2,18.91,78.25,noop
37,3,31.9,0,1,0,2,18.96,70.17,noop
38,3,32.8,0,1,0,2,19.68,67.78,1_LITE
39,3,40.0,0,2,0,1,22.08,62.33,noop
40,3,34.6,0,2,0,1,22.44,55.75,noop
41,3,33.5,0,2,0,1,22.15,57.25,0_LITE
42,3,46.6,0,3,0,0,22.75,57.82,noop
43,3,48.6,0,3,0,0,23.47,47.51,noop
44,3,64.2,0,3,0,0,23.21,48.09,noop
45,3,55.4,0,3,0,0,23.44,45.67,2_OFFLOAD
46,3,36.2,0,2,0,1,21.76,72.21,noop
47,3,46.6,0,2,0,1,21.97,64.3,noop
48,3,39.7,0,2,0,1,22.43,56.42,0_OFFLOAD
49,3,37.2,0,1,0,2,17.85,79.99,noop
50,6,60.8,3,1,0,2,12.38,131.21,noop
51,6,65.2,3,1,0,2,13.87,88.6,3_LITE
52,6,60.8,2,2,0,2,15.42,84.45,noop
53,6,65.2,2,2,0,2,14.82,82.67,noop
54,6,67.8,2,2,0,2,14.83,81.35,4_LITE
55,6,41.7,1,3,0,2,15.61,79.56,noop
56,6,42.3,1,3,0,2,15.73,78.4,noop
57,6,42.2,1,3,0,2,14.08,92.49,5_LITE
58,6,53.6,0,4,0,2,16.39,78.74,noop
59,6,66.4,0,4,0,2,16.23,78.12,noop
60,6,53.3,0,4,0,2,16.42,74.44,5_SKIP
61,6,52.7,0,3,1,2,15.01,81.43,noop
62,6,52.8,0,3,1,2,14.76,84.48,noop
63,6,24.2,0,3,1,2,14.9,84.16,2_LITE
64,6,27.4,0,4,1,1,15.18,82.26,noop
65,6,73.4,0,4,1,1,15.99,80.21,noop
66,6,30.0,0,4,1,1,15.65,88.65,5_OFFLOAD
67,6,66.0,0,4,0,2,16.03,78.45,noop
68,6,44.2,0,4,0,2,16.54,74.71,noop
69,6,57.8,0,4,0,2,15.95,77.84,2_SKIP
70,3,44.7,0,1,1,1,17.69,86.44,noop
71,3,38.4,0,1,1,1,19.61,67.69,noop
72,3,27.9,0,1,1,1,19.56,66.97,2_OFFLOAD
73,3,38.8,0,1,0,2,17.43,83.75,noop
74,3,31.3,0,1,0,2,17.85,77.37,noop
75,3,37.0,0,1,0,2,18.06,77.77,noop
76,3,36.2,0,1,0,2,17.89,78.9,noop
77,3,35.1,0,1,0,2,18.0,76.82,2_LITE
78,3,38.6,0,2,0,1,21.99,70.7,noop
79,3,41.0,0,2,0,1,22.2,57.5,noop
80,3,34.2,0,2,0,1,22.47,54.12,1_OFFLOAD
81,3,31.6,0,1,0,2,18.42,84.15,noop
82,3,30.4,0,1,0,2,18.83,78.77,noop
83,3,34.6,0,1,0,2,18.47,78.77,noop
84,3,30.0,0,1,0,2,18.5,77.93,noop
85,3,30.3,0,1,0,2,18.76,71.96,0_LITE
86,3,35.4,0,2,0,1,21.75,63.7,noop
87,3,55.4,0,2,0,1,22.2,57.01,noop
88,3,48.8,0,2,0,1,22.78,54.96,noop
89,7,83.0,4,2,0,1,10.56,200.53,1_SKIP
90,7,76.0,4,2,1,0,9.3,177.7,noop
91,7,66.5,4,2,1,0,10.67,141.48,noop
92,7,59.5,4,2,1,0,10.42,118.95,6_LITE
93,7,64.8,3,3,1,0,11.0,157.31,noop
94,7,56.9,3,3,1,0,11.61,125.2,noop
95,7,53.0,3,3,1,0,11.37,127.52,4_LITE
96,7,58.6,2,4,1,0,11.72,132.23,noop
97,7,40.5,2,4,1,0,10.71,152.34,noop
98,7,55.5,2,4,1,0,12.6,117.94,5_LITE
99,7,37.4,1,5,1,0,10.59,149.45,noop
100,7,36.4,1,5,1,0,10.74,158.01,noop
101,7,44.4,1,5,1,0,10.29,156.63,3_LITE
102,7,20.0,0,6,1,0,10.32,221.58,noop
103,7,45.9,0,6,1,0,13.3,130.78,noop
104,7,39.3,0,6,1,0,11.37,135.64,3_SKIP
105,7,22.9,0,5,2,0,9.54,176.19,noop
106,7,20.5,0,5,2,0,9.87,165.39,noop
107,7,20.2,0,5,2,0,10.01,168.53,0_OFFLOAD
108,7,16.0,0,4,2,1,9.74,179.8,noop
109,3,24.6,0,1,1,1,18.13,87.06,noop
110,3,25.8,0,1,1,1,19.4,67.49,1_OFFLOAD
111,3,31.5,0,1,0,2,18.39,82.96,noop
112,3,36.4,0,1,0,2,20.3,63.7,noop
113,3,28.0,0,1,0,2,19.79,65.3,noop
114,3,46.0,0,1,0,2,18.94,72.68,noop
115,3,35.7,0,1,0,2,19.82,66.46,0_LITE
116,3,52.3,0,2,0,1,22.16,56.84,noop
117,3,33.8,0,2,0,1,20.74,63.72,noop
118,3,40.9,0,2,0,1,21.63,59.51,2_OFFLOAD
