step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,49.2,3,0,0,0,15.77,270.7,noop
1,3,96.4,3,0,0,0,16.4,79.89,2_LITE
2,3,72.1,2,1,0,0,15.94,113.45,noop
3,3,73.5,2,1,0,0,20.71,54.07,noop
4,3,79.9,2,1,0,0,20.72,53.53,noop
5,3,58.1,2,1,0,0,20.8,53.6,noop
6,3,27.8,2,1,0,0,20.92,52.57,2_FULL
7,3,63.9,3,0,0,0,18.72,61.26,noop
8,3,56.4,3,0,0,0,19.14,59.67,noop
9,3,50.1,3,0,0,0,18.8,61.9,noop
10,4,33.3,4,0,0,0,14.46,138.42,noop
11,4,65.1,4,0,0,0,15.56,81.65,noop
12,4,45.5,4,0,0,0,15.97,72.31,noop
13,4,61.1,4,0,0,0,16.35,68.69,noop
14,4,70.5,4,0,0,0,16.78,68.81,noop
15,4,50.2,4,0,0,0,15.88,71.74,noop
16,4,58.4,4,0,0,0,16.13,70.5,noop
17,4,16.5,4,0,0,0,16.54,70.55,noop
18,4,47.2,4,0,0,0,16.09,70.19,noop
19,4,49.1,4,0,0,0,16.19,70.44,noop
20,5,55.8,5,0,0,0,11.13,177.71,0_LITE
21,5,73.0,4,1,0,0,12.67,122.12,4_LITE
22,5,58.6,3,2,0,0,14.22,121.32,4_OFFLOAD
23,5,52.8,3,1,0,1,14.73,89.51,4_SKIP
24,5,42.1,3,1,1,0,12.99,98.28,noop
25,5,58.7,3,1,1,0,12.07,114.44,1_LITE
26,5,33.3,2,2,1,0,13.7,103.89,noop
27,5,61.0,2,2,1,0,12.81,102.79,noop
28,5,67.6,2,2,1,0,13.53,98.73,noop
29,5,51.4,2,2,1,0,14.9,84.81,noop
30,6,49.2,3,2,1,0,11.71,131.33,noop
31,6,48.3,3,2,1,0,11.89,115.44,noop
32,6,54.1,3,2,1,0,11.98,117.35,noop
33,6,72.3,3,2,1,0,12.29,99.64,noop
34,6,57.5,3,2,1,0,12.09,105.43,noop
35,6,16.4,3,2,1,0,12.35,100.31,4_OFFLOAD
36,6,85.4,3,2,0,1,13.24,106.49,4_SKIP
37,6,46.4,3,2,1,0,12.03,124.76,2_LITE
38,6,36.7,2,3,1,0,11.51,176.95,0_OFFLOAD
39,6,69.6,2,2,1,1,13.1,106.75,noop
40,7,51.1,3,2,1,1,11.49,129.82,noop
41,7,44.8,3,2,1,1,11.59,113.41,noop
42,7,50.1,3,2,1,1,12.38,105.36,noop
43,7,61.4,3,2,1,1,11.89,124.4,6_LITE
44,7,34.0,2,3,1,1,11.26,134.39,2_OFFLOAD
45,7,82.0,2,2,1,2,11.98,128.37,6_SKIP
46,7,37.4,2,1,2,2,9.28,167.13,5_LITE
47,7,34.4,1,2,2,2,9.69,145.33,3_LITE
48,7,27.8,0,3,2,2,11.64,117.38,noop
49,7,11.9,0,3,2,2,11.74,114.33,noop
50,7,13.8,0,3,2,2,11.01,133.75,noop
51,7,34.1,0,3,2,2,12.07,103.36,noop
52,7,17.7,0,3,2,2,11.74,118.98,noop
53,7,11.0,0,3,2,2,12.26,105.08,noop
54,7,30.0,0,3,2,2,11.16,120.34,noop
55,7,5.8,0,3,2,2,12.12,98.38,noop
56,7,15.0,0,3,2,2,11.18,133.66,noop
57,7,26.0,0,3,2,2,12.43,102.5,noop
58,7,16.8,0,3,2,2,11.62,113.36,noop
59,7,35.5,0,3,2,2,11.69,112.44,noop
