step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,46.4,4,0,0,0,9.52,329.44,noop
1,4,40.2,4,0,0,0,14.09,88.07,noop
2,4,57.8,4,0,0,0,15.94,78.32,noop
3,4,55.6,4,0,0,0,15.4,75.48,noop
4,4,27.7,4,0,0,0,16.51,68.98,noop
5,4,45.2,4,0,0,0,16.18,70.89,noop
6,4,32.1,4,0,0,0,15.93,72.37,noop
7,4,60.8,4,0,0,0,15.78,74.22,noop
8,4,48.4,4,0,0,0,16.23,70.05,noop
9,4,94.1,4,0,0,0,16.3,69.99,noop
10,4,71.4,4,0,0,0,16.23,75.86,noop
11,4,50.2,4,0,0,0,16.31,70.03,noop
12,4,51.2,4,0,0,0,16.4,70.36,noop
13,4,76.1,4,0,0,0,16.49,70.32,noop
14,4,12.7,4,0,0,0,16.0,76.0,noop
15,7,50.7,7,0,0,0,6.39,369.49,0_LITE
16,7,67.9,6,1,0,0,8.0,240.2,1_LITE
17,7,74.7,5,2,0,0,9.93,177.66,2_LITE
18,7,98.9,4,3,0,0,11.44,155.39,3_LITE
19,7,52.1,3,4,0,0,11.61,184.35,5_LITE
20,7,61.2,2,5,0,0,12.48,168.04,6_LITE
21,7,66.8,1,6,0,0,11.54,200.05,4_LITE
22,7,23.6,0,7,0,0,11.54,182.66,noop
23,7,88.6,0,7,0,0,12.42,120.98,noop
24,7,14.0,0,7,0,0,12.65,118.36,noop
25,7,45.6,0,7,0,0,12.17,122.71,noop
26,7,26.0,0,7,0,0,11.71,126.84,noop
27,7,62.7,0,7,0,0,12.16,123.43,noop
28,7,10.4,0,7,0,0,12.77,92.88,noop
29,7,22.6,0,7,0,0,12.85,121.1,noop
30,7,68.5,0,7,0,0,12.49,117.41,noop
31,7,47.3,0,7,0,0,11.97,128.1,noop
32,7,36.0,0,7,0,0,12.43,127.45,noop
33,7,40.2,0,7,0,0,11.99,130.87,noop
34,7,58.2,0,7,0,0,12.11,128.34,noop
35,4,45.3,0,4,0,0,18.48,78.58,noop
36,4,50.3,0,4,0,0,19.42,58.56,noop
37,4,51.5,0,4,0,0,19.66,56.35,noop
38,4,44.2,0,4,0,0,19.67,55.58,noop
39,4,52.6,0,4,0,0,19.35,58.34,noop
40,4,72.4,0,4,0,0,19.6,56.54,noop
41,4,57.3,0,4,0,0,19.69,55.27,noop
42,4,57.0,0,4,0,0,20.37,55.01,noop
43,4,51.4,0,4,0,0,19.69,55.93,noop
44,4,51.1,0,4,0,0,19.61,56.92,noop
45,4,65.6,0,4,0,0,19.56,56.67,noop
46,4,55.2,0,4,0,0,19.58,55.95,noop
47,4,38.0,0,4,0,0,19.52,55.76,noop
48,4,52.3,0,4,0,0,19.28,58.72,noop
49,4,58.5,0,4,0,0,19.27,57.78,noop
50,4,62.3,0,4,0,0,19.47,56.6,noop
51,4,54.0,0,4,0,0,19.9,55.54,noop
52,4,35.9,0,4,0,0,19.52,56.19,noop
53,4,56.2,0,4,0,0,19.62,55.49,noop
54,4,60.5,0,4,0,0,19.42,56.47,noop
55,4,59.3,0,4,0,0,19.8,57.56,noop
56,4,70.6,0,4,0,0,19.58,55.8,noop
57,4,33.3,0,4,0,0,19.62,56.34,noop
58,4,25.1,0,4,0,0,19.81,57.37,noop
59,4,75.4,0,4,0,0,19.7,56.79,noop
