step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,46.0,3,0,0,0,15.41,264.74,noop
1,3,50.7,3,0,0,0,18.53,64.91,1_OFFLOAD
2,3,36.0,2,0,0,1,16.43,93.27,0_LITE
3,3,53.2,1,1,0,1,18.59,73.09,2_OFFLOAD
4,3,36.4,0,1,0,2,18.25,84.49,2_FULL
5,3,63.2,1,1,0,1,19.14,66.98,2_OFFLOAD
6,3,30.8,0,1,0,2,18.32,83.47,2_FULL
7,3,86.6,1,1,0,1,19.47,65.73,2_OFFLOAD
8,3,38.9,0,1,0,2,18.63,79.75,2_FULL
9,3,70.7,1,1,0,1,18.5,89.13,2_OFFLOAD
10,4,60.1,1,1,0,2,18.06,78.52,2_FULL
11,4,93.2,2,1,0,1,16.0,77.14,2_OFFLOAD
12,4,46.4,1,1,0,2,17.79,75.96,2_FULL
13,4,57.0,2,1,0,1,15.9,75.12,2_OFFLOAD
14,4,39.6,1,1,0,2,17.77,76.83,2_FULL
15,4,41.9,2,1,0,1,17.89,72.74,noop
16,4,48.1,2,1,0,1,18.07,65.22,noop
17,4,57.8,2,1,0,1,17.96,65.58,noop
18,4,52.7,2,1,0,1,18.21,65.67,noop
19,4,48.0,2,1,0,1,18.11,66.38,noop
20,5,53.6,3,1,0,1,15.72,82.35,noop
21,5,52.6,3,1,0,1,15.46,78.94,4_LITE
22,5,38.9,2,2,0,1,16.5,97.67,4_OFFLOAD
23,5,58.8,2,1,0,2,16.46,80.84,4_LITE
24,5,42.4,2,2,0,1,16.26,79.07,4_OFFLOAD
25,5,26.8,2,1,0,2,16.79,78.02,4_LITE
26,5,64.8,2,2,0,1,16.96,72.75,4_OFFLOAD
27,5,59.6,2,1,0,2,16.52,79.34,4_LITE
28,5,70.4,2,2,0,1,16.93,75.06,4_OFFLOAD
29,5,74.7,2,1,0,2,16.31,81.66,4_LITE
30,6,70.8,3,2,0,1,14.19,92.78,4_OFFLOAD
31,6,63.2,3,1,0,2,15.07,83.01,4_LITE
32,6,28.8,3,2,0,1,14.53,87.36,4_OFFLOAD
33,6,32.9,3,1,0,2,14.72,86.74,4_LITE
34,6,64.1,3,2,0,1,14.89,82.74,5_OFFLOAD
35,6,47.0,2,2,0,2,15.75,82.47,noop
36,6,68.8,2,2,0,2,15.4,79.94,noop
37,6,44.1,2,2,0,2,15.5,79.81,noop
38,6,60.0,2,2,0,2,15.49,82.53,noop
39,6,41.5,2,2,0,2,15.31,83.44,noop
40,7,74.1,3,2,0,2,13.71,92.82,noop
41,7,57.3,3,2,0,2,14.27,88.47,6_LITE
42,7,57.8,2,3,0,2,13.54,134.46,3_LITE
43,7,49.8,1,4,0,2,13.26,134.83,noop
44,7,43.9,1,4,0,2,13.78,107.0,noop
45,7,52.8,1,4,0,2,14.31,91.07,noop
46,7,51.9,1,4,0,2,14.53,86.89,noop
47,7,37.8,1,4,0,2,14.65,101.86,noop
48,7,54.8,1,4,0,2,14.41,85.72,noop
49,7,53.0,1,4,0,2,14.37,84.34,noop
50,7,52.5,1,4,0,2,14.93,82.73,noop
51,7,36.8,1,4,0,2,14.88,80.97,noop
52,7,49.4,1,4,0,2,14.53,90.01,noop
53,7,49.9,1,4,0,2,14.68,85.96,noop
54,7,35.5,1,4,0,2,14.74,94.97,noop
55,7,36.9,1,4,0,2,15.12,79.56,noop
56,7,53.2,1,4,0,2,14.89,81.0,noop
57,7,59.7,1,4,0,2,14.83,89.72,noop
58,7,63.6,1,4,0,2,14.38,87.77,noop
