step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,58.3,3,0,0,0,15.35,264.69,noop
1,3,46.9,3,0,0,0,16.59,67.21,noop
2,3,39.2,3,0,0,0,18.63,60.37,noop
3,3,56.4,3,0,0,0,18.88,59.23,noop
4,3,54.0,3,0,0,0,18.78,59.66,noop
5,3,48.9,3,0,0,0,19.07,58.34,noop
6,3,46.6,3,0,0,0,18.96,58.06,noop
7,3,69.0,3,0,0,0,19.05,59.6,noop
8,3,47.7,3,0,0,0,18.84,61.08,noop
9,3,46.1,3,0,0,0,18.73,60.4,noop
10,4,57.6,4,0,0,0,13.29,146.27,noop
11,4,57.8,4,0,0,0,13.04,152.61,noop
12,4,32.9,4,0,0,0,16.56,68.56,noop
13,4,68.7,4,0,0,0,15.66,72.89,noop
14,4,32.7,4,0,0,0,15.52,73.61,noop
15,4,62.5,4,0,0,0,16.51,70.54,noop
16,4,48.2,4,0,0,0,16.7,70.02,noop
17,4,40.1,4,0,0,0,16.49,71.95,noop
18,4,37.8,4,0,0,0,16.2,75.77,noop
19,4,51.7,4,0,0,0,16.37,69.54,noop
20,5,43.8,5,0,0,0,11.49,167.54,2_LITE
21,5,63.7,4,1,0,0,13.11,127.8,4_LITE
22,5,62.8,3,2,0,0,13.94,122.34,0_LITE
23,5,68.2,2,3,0,0,15.41,138.03,1_LITE
24,5,52.2,1,4,0,0,15.22,121.54,3_LITE
25,5,60.4,0,5,0,0,15.19,114.28,noop
26,5,48.3,0,5,0,0,16.16,69.83,noop
27,5,20.4,0,5,0,0,16.9,72.68,noop
28,5,26.9,0,5,0,0,15.6,94.57,noop
29,5,60.7,0,5,0,0,16.17,80.14,noop
30,6,59.0,1,5,0,0,14.23,102.21,0_OFFLOAD
31,6,59.9,1,4,0,1,15.0,99.43,5_LITE
32,6,49.4,0,5,0,1,16.12,86.43,0_LITE
33,6,17.3,0,6,0,0,12.14,173.96,noop
34,6,55.7,0,6,0,0,14.07,114.1,noop
35,6,27.1,0,6,0,0,14.36,110.95,noop
36,6,50.4,0,6,0,0,14.36,116.26,noop
37,6,36.5,0,6,0,0,13.86,109.9,noop
38,6,51.4,0,6,0,0,14.43,111.05,noop
39,6,34.8,0,6,0,0,14.58,90.1,noop
40,7,19.8,1,6,0,0,12.64,115.88,noop
41,7,71.2,1,6,0,0,13.12,124.3,6_LITE
42,7,21.0,0,7,0,0,11.29,176.68,noop
43,7,48.0,0,7,0,0,12.47,123.36,noop
44,7,71.5,0,7,0,0,12.22,125.69,noop
45,7,49.6,0,7,0,0,11.74,125.37,noop
46,7,33.4,0,7,0,0,12.61,128.59,noop
47,7,38.3,0,7,0,0,12.24,129.77,noop
48,7,67.5,0,7,0,0,12.45,123.05,noop
49,7,20.3,0,7,0,0,12.8,123.72,noop
50,7,69.6,0,7,0,0,12.42,122.8,noop
51,7,72.1,0,7,0,0,12.53,126.18,noop
52,7,68.6,0,7,0,0,12.14,127.75,noop
53,7,36.1,0,7,0,0,12.32,131.05,noop
54,7,52.0,0,7,0,0,12.49,131.29,noop
55,7,22.3,0,7,0,0,13.42,101.28,noop
56,7,37.4,0,7,0,0,12.57,110.75,noop
57,7,39.6,0,7,0,0,12.83,123.36,noop
58,7,26.2,0,7,0,0,12.17,125.58,noop
59,7,9.6,0,7,0,0,13.12,114.64,noop
