step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,44.2,6,0,0,0,7.47,370.07,noop
1,6,13.5,6,0,0,0,8.06,286.86,noop
2,6,47.8,6,0,0,0,8.69,214.18,noop
3,6,69.3,6,0,0,0,10.76,113.73,noop
4,6,15.1,6,0,0,0,10.33,137.93,noop
5,6,73.2,6,0,0,0,11.32,123.5,noop
6,6,49.4,6,0,0,0,10.82,113.79,noop
7,6,33.4,6,0,0,0,11.24,134.65,noop
8,6,82.9,6,0,0,0,11.38,107.84,noop
9,6,57.2,6,0,0,0,10.9,134.81,noop
10,6,31.1,6,0,0,0,11.65,134.95,noop
11,6,78.7,6,0,0,0,11.5,133.14,noop
12,6,30.1,6,0,0,0,10.89,108.41,noop
13,6,49.4,6,0,0,0,10.64,132.63,noop
14,6,50.0,6,0,0,0,10.92,138.26,noop
15,6,75.9,6,0,0,0,10.72,141.42,noop
16,6,67.5,6,0,0,0,11.16,111.85,noop
17,6,66.5,6,0,0,0,11.21,108.33,noop
18,6,64.7,6,0,0,0,10.83,125.82,noop
19,6,30.9,6,0,0,0,10.72,128.06,noop
20,6,16.2,6,0,0,0,11.01,136.13,noop
21,6,62.8,6,0,0,0,11.05,133.55,noop
22,6,48.7,6,0,0,0,10.62,128.05,noop
23,6,75.2,6,0,0,0,11.13,109.09,noop
24,6,38.4,6,0,0,0,10.97,121.33,noop
25,6,51.9,6,0,0,0,10.82,114.87,noop
26,6,32.6,6,0,0,0,10.75,145.85,noop
27,6,74.5,6,0,0,0,10.79,123.51,noop
28,6,54.2,6,0,0,0,11.24,118.64,noop
29,6,66.9,6,0,0,0,10.9,108.85,noop
30,6,53.2,6,0,0,0,11.13,109.15,noop
31,6,43.7,6,0,0,0,11.6,103.27,noop
32,6,51.5,6,0,0,0,11.23,105.98,noop
33,6,70.9,6,0,0,0,11.12,109.19,noop
34,6,63.3,6,0,0,0,10.95,138.68,noop
35,6,50.1,6,0,0,0,11.33,127.86,noop
36,6,32.1,6,0,0,0,11.12,128.19,noop
37,6,61.6,6,0,0,0,11.17,134.09,noop
38,6,34.7,6,0,0,0,11.31,121.95,noop
39,6,54.1,6,0,0,0,10.74,122.3,noop
40,6,63.6,6,0,0,0,10.91,133.33,noop
41,6,41.8,6,0,0,0,11.68,136.51,noop
42,6,47.6,6,0,0,0,10.85,121.79,noop
43,6,51.1,6,0,0,0,11.02,126.66,noop
44,6,67.0,6,0,0,0,10.77,127.24,noop
45,6,59.3,6,0,0,0,10.81,125.49,noop
46,6,59.2,6,0,0,0,11.15,108.1,noop
47,6,40.2,6,0,0,0,11.09,106.98,noop
48,6,49.9,6,0,0,0,11.14,107.8,noop
49,6,25.2,6,0,0,0,10.87,131.47,noop
50,6,54.2,6,0,0,0,11.09,133.25,noop
51,6,47.6,6,0,0,0,11.13,137.44,noop
52,6,40.9,6,0,0,0,11.15,122.0,noop
53,6,57.4,6,0,0,0,10.98,119.17,noop
54,6,52.2,6,0,0,0,11.01,108.7,noop
55,6,52.3,6,0,0,0,10.93,124.8,noop
56,6,52.6,6,0,0,0,11.26,129.11,noop
57,6,75.5,6,0,0,0,11.57,129.8,noop
58,6,41.0,6,0,0,0,11.45,103.53,noop
59,6,50.8,6,0,0,0,11.43,110.09,noop
60,6,50.9,6,0,0,0,11.31,116.08,noop
61,6,75.1,6,0,0,0,11.05,136.32,noop
62,6,58.7,6,0,0,0,11.06,105.37,noop
63,6,61.1,6,0,0,0,11.2,124.67,noop
64,6,43.5,6,0,0,0,11.05,134.31,noop
65,6,43.7,6,0,0,0,11.23,132.35,noop
66,6,53.4,6,0,0,0,11.38,140.19,noop
67,6,42.2,6,0,0,0,10.98,144.38,noop
68,6,45.4,6,0,0,0,11.25,125.72,noop
69,6,53.4,6,0,0,0,11.58,106.39,noop
70,6,50.6,6,0,0,0,11.03,144.09,noop
71,6,59.9,6,0,0,0,10.88,124.94,noop
72,6,38.5,6,0,0,0,11.26,105.77,noop
73,6,57.5,6,0,0,0,11.09,128.24,noop
74,6,60.5,6,0,0,0,11.59,111.58,noop
75,6,66.8,6,0,0,0,11.13,109.91,noop
76,6,68.8,6,0,0,0,11.18,122.22,noop
77,6,43.8,6,0,0,0,11.26,106.89,noop
78,6,65.6,6,0,0,0,11.05,131.92,noop
79,6,63.2,6,0,0,0,10.87,124.53,noop
80,6,24.9,6,0,0,0,11.22,104.16,noop
81,6,55.1,6,0,0,0,11.19,133.59,noop
82,6,50.6,6,0,0,0,11.12,138.62,noop
83,6,61.8,6,0,0,0,11.26,107.71,noop
84,6,39.5,6,0,0,0,11.29,105.24,noop
85,6,52.6,6,0,0,0,11.39,125.67,noop
86,6,35.6,6,0,0,0,11.06,119.89,noop
87,6,43.3,6,0,0,0,10.96,138.04,noop
88,6,79.2,6,0,0,0,11.04,131.33,noop
89,6,47.1,6,0,0,0,10.98,125.31,noop
