step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,45.6,6,0,0,0,6.86,355.69,noop
1,6,43.2,6,0,0,0,7.81,286.52,2_OFFLOAD
2,6,26.8,5,0,0,1,11.6,129.01,noop
3,6,11.8,5,0,0,1,12.8,107.67,noop
4,6,29.2,5,0,0,1,10.95,172.1,1_SKIP
5,6,51.1,4,0,1,1,12.01,130.61,noop
6,6,62.7,4,0,1,1,13.54,102.13,noop
7,6,14.6,4,0,1,1,13.11,93.94,0_LITE
8,6,43.1,3,1,1,1,11.93,126.28,noop
9,6,40.1,3,1,1,1,11.32,133.83,noop
10,6,63.4,3,1,1,1,12.69,96.57,0_OFFLOAD
11,6,53.8,3,0,1,2,13.49,98.92,noop
12,6,51.1,3,0,1,2,13.7,90.45,noop
13,6,58.3,3,0,1,2,13.46,94.55,3_LITE
14,6,49.8,2,1,1,2,12.82,100.38,noop
15,6,18.6,2,1,1,2,12.55,99.22,noop
16,6,36.1,2,1,1,2,13.24,98.58,5_LITE
17,6,47.5,1,2,1,2,12.11,144.86,noop
18,6,43.9,1,2,1,2,12.75,106.74,noop
19,6,40.6,1,2,1,2,12.58,103.18,4_LITE
20,6,20.5,0,3,1,2,12.84,134.7,noop
21,6,57.1,0,3,1,2,15.29,81.23,noop
22,6,21.8,0,3,1,2,14.96,83.7,noop
23,6,44.2,0,3,1,2,15.46,78.16,noop
24,6,32.0,0,3,1,2,15.31,79.94,2_LITE
25,6,32.1,0,4,1,1,13.26,151.43,noop
26,6,39.6,0,4,1,1,14.93,102.6,noop
27,6,36.3,0,4,1,1,15.37,79.12,5_OFFLOAD
28,6,40.5,0,3,1,2,15.04,91.34,noop
29,6,28.4,0,3,1,2,14.63,87.11,noop
30,6,28.9,0,3,1,2,15.5,81.08,1_LITE
31,6,59.5,0,4,0,2,16.49,75.27,noop
32,6,82.6,0,4,0,2,16.54,75.16,noop
33,6,55.1,0,4,0,2,16.75,86.1,0_SKIP
34,6,77.5,0,4,1,1,16.03,75.99,noop
35,6,38.5,0,4,1,1,15.13,89.3,noop
36,6,31.3,0,4,1,1,15.01,90.79,4_OFFLOAD
37,6,39.9,0,3,1,2,15.63,95.73,noop
38,6,25.7,0,3,1,2,15.06,98.65,noop
39,6,12.8,0,3,1,2,15.63,81.88,5_LITE
40,6,46.6,0,4,1,1,14.68,101.63,noop
41,6,26.7,0,4,1,1,15.37,98.48,noop
42,6,17.6,0,4,1,1,15.69,91.24,1_OFFLOAD
43,6,28.3,0,3,1,2,15.49,88.4,noop
44,6,51.0,0,3,1,2,15.63,83.25,noop
45,6,35.7,0,3,1,2,15.95,80.41,4_LITE
46,6,25.7,0,4,1,1,15.31,89.03,noop
47,6,87.4,0,4,1,1,16.14,73.87,noop
48,6,37.0,0,4,1,1,15.55,78.31,5_OFFLOAD
49,6,55.2,0,3,1,2,14.63,98.39,noop
50,6,35.7,0,3,1,2,15.45,83.12,noop
51,6,56.5,0,3,1,2,14.88,86.67,0_LITE
52,6,62.2,0,4,0,2,16.01,78.95,noop
53,6,54.6,0,4,0,2,16.52,73.89,noop
54,6,62.6,0,4,0,2,16.67,72.55,5_SKIP
55,6,33.3,0,4,1,1,16.0,84.5,noop
56,6,61.9,0,4,1,1,15.9,73.82,noop
57,6,48.2,0,4,1,1,16.77,76.06,5_OFFLOAD
58,6,39.3,0,4,0,2,16.02,77.82,noop
59,6,44.4,0,4,0,2,16.34,77.68,noop
60,6,51.6,0,4,0,2,16.42,74.03,1_SKIP
61,6,61.2,0,4,1,1,15.91,78.69,noop
62,6,39.5,0,4,1,1,15.32,84.98,noop
63,6,53.0,0,4,1,1,15.42,100.47,3_OFFLOAD
64,6,41.5,0,3,1,2,14.81,87.98,noop
65,6,31.9,0,3,1,2,15.45,80.06,noop
66,6,59.6,0,3,1,2,15.16,83.4,5_LITE
67,6,9.2,0,4,1,1,16.0,79.9,noop
68,6,31.2,0,4,1,1,15.39,85.06,noop
69,6,73.5,0,4,1,1,16.33,75.97,4_OFFLOAD
70,6,45.1,0,3,1,2,15.55,87.9,noop
71,6,38.2,0,3,1,2,15.22,90.5,noop
72,6,43.1,0,3,1,2,15.76,81.61,3_LITE
73,6,61.8,0,4,1,1,14.65,96.31,noop
74,6,21.2,0,4,1,1,15.18,91.66,noop
75,6,44.3,0,4,1,1,15.22,86.81,noop
76,6,66.4,0,4,1,1,16.24,74.19,noop
77,6,30.6,0,4,1,1,15.94,87.3,5_OFFLOAD
78,6,58.8,0,3,1,2,15.82,85.13,noop
79,6,64.9,0,3,1,2,15.81,82.05,noop
80,6,60.3,0,3,1,2,15.37,83.77,4_LITE
81,6,33.8,0,4,1,1,15.14,90.19,noop
82,6,30.5,0,4,1,1,15.83,87.17,noop
83,6,69.6,0,4,1,1,16.21,78.33,1_OFFLOAD
84,6,37.9,0,4,0,2,16.55,74.65,noop
85,6,57.5,0,4,0,2,16.49,78.56,noop
86,6,49.1,0,4,0,2,16.59,72.6,2_SKIP
87,6,49.3,0,3,1,2,15.12,82.35,noop
88,6,22.8,0,3,1,2,14.71,89.03,noop
