step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,58.2,6,0,0,0,9.94,331.53,noop
1,6,51.3,6,0,0,0,5.71,333.07,2_LITE
2,6,56.8,5,1,0,0,10.19,141.05,2_OFFLOAD
3,6,61.5,5,0,0,1,11.35,119.85,noop
4,6,31.0,5,0,0,1,11.59,119.94,noop
5,6,15.5,5,0,0,1,12.4,96.9,noop
6,6,66.1,5,0,0,1,13.45,93.73,noop
7,6,26.6,5,0,0,1,13.45,90.7,2_LITE
8,6,60.3,5,1,0,0,10.62,206.57,4_LITE
9,6,36.3,4,2,0,0,12.39,148.66,4_OFFLOAD
10,6,43.4,4,1,0,1,12.63,119.41,noop
11,6,55.8,4,1,0,1,14.17,86.73,noop
12,6,57.4,4,1,0,1,13.66,106.51,noop
13,6,42.5,4,1,0,1,13.58,95.95,noop
14,6,79.2,4,1,0,1,13.25,90.73,noop
15,6,91.4,4,1,0,1,13.19,95.04,5_LITE
16,6,62.4,3,2,0,1,14.8,87.29,noop
17,6,29.9,3,2,0,1,15.14,76.37,noop
18,6,50.8,3,2,0,1,15.43,83.55,noop
19,6,54.9,3,2,0,1,14.5,89.76,noop
20,6,52.7,3,2,0,1,15.31,76.19,4_LITE
21,6,59.3,3,3,0,0,13.42,139.88,2_OFFLOAD
22,6,48.5,3,2,0,1,14.82,100.79,noop
23,6,48.2,3,2,0,1,15.17,78.43,noop
24,6,26.2,3,2,0,1,15.37,80.45,noop
25,6,54.9,3,2,0,1,14.86,80.46,noop
26,6,78.1,3,2,0,1,15.05,77.89,noop
27,6,63.8,3,2,0,1,15.35,78.53,noop
28,6,65.2,3,2,0,1,15.66,76.97,noop
29,6,28.8,3,2,0,1,15.41,75.92,2_LITE
30,6,65.8,3,3,0,0,13.91,108.5,noop
31,6,50.2,3,3,0,0,14.6,89.75,2_FULL
32,6,91.0,4,2,0,0,13.16,103.18,0_LITE
33,6,45.8,3,3,0,0,13.83,90.28,noop
34,6,56.2,3,3,0,0,14.01,84.09,noop
35,6,54.0,3,3,0,0,13.62,109.64,5_OFFLOAD
36,6,29.8,3,2,0,1,14.56,92.64,noop
37,6,54.2,3,2,0,1,15.58,80.75,noop
38,6,57.7,3,2,0,1,15.73,82.7,noop
39,6,53.2,3,2,0,1,15.73,74.28,noop
40,6,66.8,3,2,0,1,15.68,74.85,noop
41,6,41.1,3,2,0,1,15.76,75.64,5_LITE
42,6,54.2,3,3,0,0,14.85,85.34,0_FULL
43,6,38.0,4,2,0,0,14.37,84.47,4_FULL
44,6,54.8,5,1,0,0,12.04,112.91,5_FULL
45,6,30.7,6,0,0,0,11.34,113.47,noop
46,6,54.3,6,0,0,0,11.21,108.98,noop
47,6,51.3,6,0,0,0,11.12,105.63,noop
48,6,43.7,6,0,0,0,11.16,133.07,5_LITE
49,6,42.7,5,1,0,0,12.2,121.09,noop
50,6,54.4,5,1,0,0,10.95,137.33,noop
51,6,60.4,5,1,0,0,10.52,126.53,2_LITE
52,6,76.4,4,2,0,0,12.86,116.27,noop
53,6,85.2,4,2,0,0,12.64,91.55,noop
54,6,14.3,4,2,0,0,12.57,95.98,noop
55,6,6.8,4,2,0,0,13.05,93.83,noop
56,6,29.9,4,2,0,0,13.9,90.12,2_FULL
57,6,78.0,5,1,0,0,11.68,134.33,1_LITE
58,6,21.3,4,2,0,0,13.52,110.63,noop
59,6,38.0,4,2,0,0,14.33,91.66,noop
60,6,68.2,4,2,0,0,13.36,96.25,noop
61,6,28.2,4,2,0,0,12.97,89.57,noop
62,6,26.5,4,2,0,0,13.25,96.72,1_FULL
63,6,48.6,5,1,0,0,11.39,125.15,5_FULL
64,6,74.4,6,0,0,0,10.84,133.39,0_LITE
65,6,50.0,5,1,0,0,12.59,111.6,noop
66,6,34.3,5,1,0,0,11.66,129.2,noop
67,6,55.5,5,1,0,0,11.51,140.72,1_LITE
68,6,76.1,4,2,0,0,13.17,101.12,noop
69,6,53.6,4,2,0,0,13.66,84.09,noop
70,6,52.8,4,2,0,0,13.87,83.74,noop
71,6,78.5,4,2,0,0,13.97,81.69,noop
72,6,43.0,4,2,0,0,13.55,88.84,0_FULL
73,6,54.8,5,1,0,0,12.26,108.78,1_FULL
74,6,72.5,6,0,0,0,10.59,135.35,0_LITE
75,6,49.0,5,1,0,0,11.05,113.79,noop
76,6,56.6,5,1,0,0,10.32,148.0,5_LITE
77,6,30.7,4,2,0,0,12.0,109.54,noop
78,6,68.3,4,2,0,0,12.83,104.67,noop
79,6,21.0,4,2,0,0,13.17,90.81,noop
80,6,15.7,4,2,0,0,12.92,93.73,noop
81,6,48.6,4,2,0,0,12.99,93.43,0_FULL
82,6,67.3,5,1,0,0,10.68,117.16,noop
83,6,55.1,5,1,0,0,11.34,117.41,5_FULL
84,6,57.0,6,0,0,0,11.02,122.34,noop
85,6,62.2,6,0,0,0,11.65,124.15,noop
86,6,52.0,6,0,0,0,11.23,133.55,noop
87,6,84.8,6,0,0,0,11.44,130.12,noop
88,6,32.8,6,0,0,0,11.0,131.08,1_LITE
89,6,55.0,5,1,0,0,11.71,108.65,noop
