step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,6,32.9,6,0,0,0,9.91,314.54,noop
1,6,67.7,6,0,0,0,8.3,293.73,0_OFFLOAD
2,6,50.6,5,0,0,1,11.31,203.79,3_LITE
3,6,91.0,4,1,0,1,12.8,125.77,5_LITE
4,6,72.0,3,2,0,1,14.68,112.95,1_LITE
5,6,26.4,2,3,0,1,12.88,149.73,2_LITE
6,6,60.0,1,4,0,1,14.58,127.58,4_LITE
7,6,32.5,0,5,0,1,14.06,132.78,0_LITE
8,6,56.3,0,6,0,0,12.28,163.65,noop
9,6,54.6,0,6,0,0,13.81,109.36,noop
10,6,43.8,0,6,0,0,13.67,116.64,noop
11,6,18.7,0,6,0,0,14.44,109.28,noop
12,6,41.2,0,6,0,0,13.76,119.21,noop
13,6,40.9,0,6,0,0,14.82,83.49,noop
14,6,63.0,0,6,0,0,14.71,101.72,noop
15,6,36.2,0,6,0,0,14.55,112.55,noop
16,6,19.4,0,6,0,0,13.65,117.73,noop
17,6,40.9,0,6,0,0,14.27,96.93,noop
18,6,60.7,0,6,0,0,14.45,107.82,noop
19,6,30.7,0,6,0,0,14.15,104.22,noop
20,6,37.4,0,6,0,0,15.11,85.07,noop
21,6,21.1,0,6,0,0,13.56,104.19,noop
22,6,59.3,0,6,0,0,14.94,101.69,noop
23,6,27.3,0,6,0,0,14.48,95.18,noop
24,6,47.5,0,6,0,0,14.82,102.57,noop
25,6,67.2,0,6,0,0,13.62,117.63,noop
26,6,61.0,0,6,0,0,14.59,83.45,noop
27,6,35.6,0,6,0,0,13.71,97.01,noop
28,6,31.1,0,6,0,0,13.78,109.81,noop
29,6,51.5,0,6,0,0,13.38,119.1,noop
30,6,70.6,0,6,0,0,13.89,102.63,noop
31,6,78.4,0,6,0,0,14.2,94.23,noop
32,6,54.5,0,6,0,0,14.36,99.26,noop
33,6,49.6,0,6,0,0,13.7,112.37,noop
34,6,35.4,0,6,0,0,13.59,112.25,noop
35,6,26.5,0,6,0,0,14.45,102.57,noop
36,6,54.8,0,6,0,0,15.22,85.31,noop
37,6,28.3,0,6,0,0,14.57,99.57,noop
38,6,37.7,0,6,0,0,14.74,108.84,noop
39,6,55.4,0,6,0,0,14.63,117.63,noop
40,6,53.1,0,6,0,0,14.62,78.58,noop
41,6,36.6,0,6,0,0,14.16,94.09,noop
42,6,63.0,0,6,0,0,14.3,103.03,noop
43,6,89.4,0,6,0,0,14.87,96.22,noop
44,6,37.5,0,6,0,0,14.44,109.9,noop
45,6,45.8,0,6,0,0,15.17,89.5,noop
46,6,38.6,0,6,0,0,15.04,80.09,noop
47,6,45.8,0,6,0,0,14.97,101.41,noop
48,6,35.1,0,6,0,0,14.63,114.28,noop
49,6,64.4,0,6,0,0,13.8,101.86,noop
50,6,30.0,0,6,0,0,15.04,93.48,noop
51,6,23.9,0,6,0,0,14.36,105.52,noop
52,6,66.9,0,6,0,0,14.26,94.28,noop
53,6,59.7,0,6,0,0,14.13,98.08,noop
54,6,41.3,0,6,0,0,13.76,114.92,noop
55,6,19.0,0,6,0,0,14.82,95.24,noop
56,6,45.4,0,6,0,0,14.14,107.08,noop
57,6,48.8,0,6,0,0,13.93,125.03,noop
58,6,43.0,0,6,0,0,15.1,81.3,noop
59,6,52.5,0,6,0,0,15.05,89.74,noop
60,6,59.7,0,6,0,0,14.59,97.48,noop
61,6,8.8,0,6,0,0,14.43,101.35,noop
62,6,40.5,0,6,0,0,14.34,103.07,noop
63,6,34.8,0,6,0,0,14.65,91.06,noop
64,6,57.6,0,6,0,0,14.95,84.79,noop
65,6,27.2,0,6,0,0,14.71,111.78,noop
66,6,40.7,0,6,0,0,15.15,89.69,noop
67,6,23.7,0,6,0,0,14.6,107.02,noop
68,6,36.0,0,6,0,0,14.45,95.47,noop
69,6,21.2,0,6,0,0,14.77,110.14,noop
70,6,58.8,0,6,0,0,14.11,103.44,noop
71,6,83.6,0,6,0,0,14.43,86.45,noop
72,6,41.6,0,6,0,0,14.46,105.97,noop
73,6,44.5,0,6,0,0,13.78,118.51,noop
74,6,66.3,0,6,0,0,14.5,88.42,noop
75,6,26.6,0,6,0,0,15.14,108.53,noop
76,6,55.3,0,6,0,0,14.71,89.01,noop
77,6,38.8,0,6,0,0,14.85,84.77,noop
78,6,54.1,0,6,0,0,13.79,116.83,noop
79,6,42.1,0,6,0,0,15.54,76.86,noop
80,6,12.3,0,6,0,0,14.46,90.27,noop
81,6,37.6,0,6,0,0,14.03,106.61,noop
82,6,76.9,0,6,0,0,14.2,99.18,noop
83,6,47.3,0,6,0,0,14.99,78.83,noop
84,6,37.5,0,6,0,0,14.94,89.25,noop
85,6,42.9,0,6,0,0,15.38,77.79,noop
86,6,31.4,0,6,0,0,14.67,103.42,noop
87,6,50.8,0,6,0,0,14.93,86.4,noop
88,6,48.2,0,6,0,0,14.92,80.64,noop
89,6,19.7,0,6,0,0,15.95,86.54,noop
