step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,48.6,3,0,0,0,15.32,260.89,noop
1,3,83.2,3,0,0,0,17.78,70.58,noop
2,3,55.8,3,0,0,0,18.99,58.99,noop
3,3,72.4,3,0,0,0,18.68,59.23,noop
4,3,60.6,3,0,0,0,18.76,60.07,noop
5,3,86.7,3,0,0,0,18.54,60.56,noop
6,3,74.0,3,0,0,0,18.61,59.87,noop
7,3,60.0,3,0,0,0,18.82,60.21,noop
8,3,55.8,3,0,0,0,18.64,59.83,noop
9,3,55.0,3,0,0,0,17.46,78.06,noop
10,6,44.0,6,0,0,0,6.73,350.98,noop
11,6,85.3,6,0,0,0,9.53,217.24,noop
12,6,27.3,6,0,0,0,9.72,141.74,noop
13,6,75.6,6,0,0,0,10.76,119.27,noop
14,6,47.7,6,0,0,0,10.78,125.23,noop
15,6,62.8,6,0,0,0,11.28,110.77,noop
16,6,69.3,6,0,0,0,11.02,125.28,noop
17,6,75.4,6,0,0,0,11.2,119.26,noop
18,6,43.3,6,0,0,0,10.88,137.81,noop
19,6,48.6,6,0,0,0,11.09,137.43,noop
20,6,60.0,6,0,0,0,11.05,131.7,noop
21,6,42.1,6,0,0,0,10.92,140.5,noop
22,6,19.4,6,0,0,0,11.34,127.88,noop
23,6,75.7,6,0,0,0,11.11,144.56,noop
24,6,66.7,6,0,0,0,11.4,128.14,noop
25,6,69.4,6,0,0,0,11.15,122.07,noop
26,6,51.3,6,0,0,0,10.69,134.89,noop
27,6,72.2,6,0,0,0,11.3,117.36,noop
28,6,67.1,6,0,0,0,11.12,139.88,noop
29,6,44.6,6,0,0,0,11.69,124.19,noop
30,3,54.2,3,0,0,0,17.66,87.28,noop
31,3,51.6,3,0,0,0,19.1,58.22,noop
32,3,53.8,3,0,0,0,19.23,57.79,noop
33,3,52.6,3,0,0,0,19.47,58.56,noop
34,3,70.1,3,0,0,0,19.54,56.32,noop
35,3,56.4,3,0,0,0,19.59,57.33,noop
36,3,63.6,3,0,0,0,19.48,56.32,noop
37,3,39.0,3,0,0,0,18.76,59.11,noop
38,3,72.6,3,0,0,0,18.65,64.32,noop
39,3,51.5,3,0,0,0,18.65,59.86,noop
40,3,73.2,3,0,0,0,18.56,59.74,noop
41,3,40.1,3,0,0,0,18.69,59.03,noop
42,3,22.0,3,0,0,0,18.67,60.14,noop
43,3,50.9,3,0,0,0,18.75,59.17,noop
44,3,62.9,3,0,0,0,19.34,57.64,noop
45,3,41.0,3,0,0,0,18.74,58.53,noop
46,3,57.6,3,0,0,0,18.9,59.6,noop
47,3,51.8,3,0,0,0,18.8,59.52,noop
48,3,79.7,3,0,0,0,18.83,58.45,noop
49,3,39.8,3,0,0,0,19.03,58.41,noop
50,6,38.2,6,0,0,0,11.65,137.97,noop
51,6,57.7,6,0,0,0,10.94,129.0,noop
52,6,70.5,6,0,0,0,11.54,123.7,noop
53,6,45.8,6,0,0,0,11.01,135.92,noop
54,6,52.1,6,0,0,0,10.77,123.82,noop
55,6,57.0,6,0,0,0,11.02,126.82,noop
56,6,26.2,6,0,0,0,11.26,121.06,noop
57,6,74.6,6,0,0,0,11.1,121.2,noop
58,6,26.0,6,0,0,0,10.98,118.67,noop
59,6,68.4,6,0,0,0,11.38,118.57,noop
60,6,66.7,6,0,0,0,11.08,144.92,noop
61,6,50.4,6,0,0,0,11.2,105.27,noop
62,6,47.4,6,0,0,0,11.01,137.81,noop
63,6,49.7,6,0,0,0,11.04,106.26,noop
64,6,25.5,6,0,0,0,11.02,123.69,noop
65,6,51.4,6,0,0,0,11.29,104.41,noop
66,6,79.9,6,0,0,0,11.24,105.67,noop
67,6,40.1,6,0,0,0,11.11,128.34,noop
68,6,33.1,6,0,0,0,11.14,118.68,noop
69,6,65.6,6,0,0,0,10.79,112.47,noop
70,3,60.6,3,0,0,0,17.47,89.85,noop
71,3,70.3,3,0,0,0,18.28,63.99,noop
72,3,30.3,3,0,0,0,18.99,62.34,noop
73,3,70.6,3,0,0,0,18.78,59.04,noop
74,3,68.9,3,0,0,0,19.12,59.65,noop
75,3,21.3,3,0,0,0,18.81,58.75,noop
76,3,82.6,3,0,0,0,18.84,59.77,noop
77,3,84.8,3,0,0,0,18.75,59.03,noop
78,3,65.7,3,0,0,0,18.58,59.33,noop
79,3,75.0,3,0,0,0,18.61,59.63,noop
80,3,49.0,3,0,0,0,18.92,60.33,noop
81,3,71.5,3,0,0,0,18.74,59.54,noop
82,3,55.2,3,0,0,0,19.08,59.56,noop
83,3,48.6,3,0,0,0,18.82,58.4,noop
84,3,42.0,3,0,0,0,18.92,59.6,noop
85,3,72.5,3,0,0,0,19.64,57.28,noop
86,3,70.4,3,0,0,0,19.08,59.63,noop
87,3,63.0,3,0,0,0,18.56,59.06,noop
88,3,70.5,3,0,0,0,18.91,59.02,noop
89,7,55.9,7,0,0,0,7.97,232.79,noop
90,7,83.8,7,0,0,0,8.98,174.21,noop
91,7,26.7,7,0,0,0,8.39,179.75,noop
92,7,49.6,7,0,0,0,8.61,173.93,noop
93,7,99.3,7,0,0,0,9.44,145.86,noop
94,7,63.6,7,0,0,0,9.42,160.06,noop
95,7,75.4,7,0,0,0,8.83,165.68,noop
96,7,30.4,7,0,0,0,9.13,161.46,noop
97,7,56.0,7,0,0,0,9.37,164.91,noop
98,7,71.9,7,0,0,0,9.16,157.0,noop
99,7,99.4,7,0,0,0,9.0,136.7,noop
100,7,99.4,7,0,0,0,9.2,142.62,noop
101,7,27.2,7,0,0,0,9.17,160.44,noop
102,7,66.8,7,0,0,0,9.39,155.46,noop
103,7,45.9,7,0,0,0,9.52,153.13,noop
104,7,99.5,7,0,0,0,9.28,156.46,noop
105,7,99.6,7,0,0,0,9.09,133.36,noop
106,7,52.0,7,0,0,0,9.19,160.94,noop
107,7,76.7,7,0,0,0,9.33,149.61,noop
108,7,72.2,7,0,0,0,9.13,164.82,noop
109,3,81.4,3,0,0,0,16.81,114.68,noop
110,3,62.8,3,0,0,0,18.7,61.26,noop
111,3,43.7,3,0,0,0,18.92,58.36,noop
112,3,34.0,3,0,0,0,18.52,59.22,noop
113,3,61.4,3,0,0,0,19.55,59.76,noop
114,3,69.2,3,0,0,0,18.81,58.88,noop
115,3,55.8,3,0,0,0,18.85,59.35,noop
116,3,35.5,3,0,0,0,19.72,58.04,noop
117,3,49.3,3,0,0,0,19.16,58.11,noop
118,3,63.6,3,0,0,0,18.65,59.5,noop
