step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,31.9,4,0,0,0,9.41,333.39,noop
1,4,49.5,4,0,0,0,14.69,93.66,1_LITE
2,4,53.9,3,1,0,0,15.89,85.32,noop
3,4,61.6,3,1,0,0,16.55,71.73,noop
4,4,68.5,3,1,0,0,16.09,72.55,0_LITE
5,4,28.5,2,2,0,0,14.54,132.12,noop
6,4,52.2,2,2,0,0,17.41,69.59,noop
7,4,38.8,2,2,0,0,18.24,69.19,3_LITE
8,4,59.9,1,3,0,0,16.86,113.92,noop
9,4,55.1,1,3,0,0,19.16,60.91,noop
10,4,53.0,1,3,0,0,19.36,59.8,2_LITE
11,4,38.7,0,4,0,0,16.88,98.98,noop
12,4,53.2,0,4,0,0,19.27,59.14,noop
13,4,56.0,0,4,0,0,18.93,64.41,3_SKIP
14,4,53.7,0,3,1,0,19.81,63.37,noop
15,7,48.2,3,3,1,0,11.09,168.22,noop
16,7,38.6,3,3,1,0,11.44,115.93,6_LITE
17,7,91.3,2,4,1,0,11.92,114.79,noop
18,7,48.9,2,4,1,0,11.45,124.78,noop
19,7,63.2,2,4,1,0,11.52,132.21,5_LITE
20,7,63.2,1,5,1,0,9.52,256.04,noop
21,7,35.7,1,5,1,0,10.67,149.03,noop
22,7,54.0,1,5,1,0,10.64,159.58,4_LITE
23,7,38.7,0,6,1,0,9.76,224.85,noop
24,7,26.4,0,6,1,0,12.93,124.95,noop
25,7,53.8,0,6,1,0,10.44,186.14,1_SKIP
26,7,27.5,0,5,2,0,9.72,173.37,noop
27,7,57.6,0,5,2,0,10.66,163.24,noop
28,7,33.5,0,5,2,0,9.89,163.25,5_OFFLOAD
29,7,42.7,0,4,2,1,12.3,133.46,noop
30,7,33.6,0,4,2,1,11.89,120.57,noop
31,7,20.4,0,4,2,1,11.6,128.96,1_OFFLOAD
32,7,76.0,0,4,1,2,14.51,93.74,noop
33,7,59.0,0,4,1,2,14.66,82.55,noop
34,7,37.3,0,4,1,2,13.57,107.96,4_SKIP
35,4,45.0,0,2,1,1,17.87,77.92,noop
36,4,46.3,0,2,1,1,18.98,67.29,noop
37,4,34.6,0,2,1,1,19.01,66.25,0_OFFLOAD
38,4,28.1,0,1,1,2,15.79,89.0,noop
39,4,25.3,0,1,1,2,16.38,84.86,noop
40,4,25.3,0,1,1,2,16.26,78.33,1_LITE
41,4,16.5,0,2,1,1,18.4,74.32,noop
42,4,35.2,0,2,1,1,18.81,65.07,noop
43,4,38.4,0,2,1,1,18.07,69.47,3_OFFLOAD
44,4,35.7,0,2,0,2,18.42,77.24,noop
45,4,37.7,0,2,0,2,19.25,72.62,noop
46,4,32.8,0,2,0,2,19.08,72.97,0_SKIP
47,4,31.3,0,2,1,1,18.65,67.54,noop
48,4,26.8,0,2,1,1,19.05,67.0,noop
49,4,36.1,0,2,1,1,18.32,73.25,0_LITE
50,4,26.0,0,3,0,1,19.85,59.07,noop
51,4,41.7,0,3,0,1,20.32,59.68,noop
52,4,57.4,0,3,0,1,20.17,60.44,1_SKIP
53,4,41.1,0,2,1,1,18.68,68.93,noop
54,4,34.2,0,2,1,1,18.65,68.43,noop
55,4,32.0,0,2,1,1,19.17,67.69,noop
56,4,40.2,0,2,1,1,18.65,70.97,3_LITE
57,4,34.6,0,3,1,0,19.66,68.4,noop
58,4,53.2,0,3,1,0,18.92,63.41,noop
59,4,47.8,0,3,1,0,18.99,72.73,0_OFFLOAD
