step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,56.4,3,0,0,0,15.2,261.92,noop
1,3,61.3,3,0,0,0,16.36,66.66,0_LITE
2,3,41.5,2,1,0,0,19.28,142.52,noop
3,3,71.0,2,1,0,0,21.18,51.67,noop
4,3,32.8,2,1,0,0,21.04,53.33,1_LITE
5,3,49.3,1,2,0,0,19.69,81.76,noop
6,3,55.5,1,2,0,0,21.94,51.74,noop
7,3,50.6,1,2,0,0,21.93,52.66,2_LITE
8,3,58.8,0,3,0,0,19.69,70.89,noop
9,3,49.2,0,3,0,0,23.03,49.87,noop
10,4,77.3,1,3,0,0,17.5,73.33,2_SKIP
11,4,35.5,1,2,1,0,13.99,100.62,noop
12,4,50.4,1,2,1,0,15.67,86.37,noop
13,4,43.0,1,2,1,0,15.94,85.21,3_LITE
14,4,38.4,0,3,1,0,19.34,73.08,noop
15,4,27.2,0,3,1,0,19.34,64.05,noop
16,4,54.4,0,3,1,0,20.11,60.28,2_OFFLOAD
17,4,34.4,0,3,0,1,19.4,69.82,noop
18,4,52.0,0,3,0,1,20.14,65.27,noop
19,4,32.8,0,3,0,1,20.06,63.63,0_SKIP
20,5,52.4,1,2,1,1,13.66,95.33,noop
21,5,60.3,1,2,1,1,14.61,87.67,noop
22,5,75.9,1,2,1,1,14.18,93.88,4_LITE
23,5,34.8,0,3,1,1,15.67,98.15,noop
24,5,45.3,0,3,1,1,17.63,71.53,noop
25,5,55.1,0,3,1,1,17.25,77.8,1_OFFLOAD
26,5,32.2,0,2,1,2,15.18,90.56,noop
27,5,19.3,0,2,1,2,16.52,77.97,noop
28,5,34.4,0,2,1,2,16.69,80.64,noop
29,5,35.2,0,2,1,2,17.17,74.03,noop
30,6,34.4,1,2,1,2,12.0,127.15,noop
31,6,47.7,1,2,1,2,12.8,117.34,5_LITE
32,6,22.9,0,3,1,2,14.57,97.24,noop
33,6,20.9,0,3,1,2,15.45,80.76,noop
34,6,37.3,0,3,1,2,15.87,81.05,noop
35,6,52.0,0,3,1,2,15.96,78.96,noop
36,6,33.9,0,3,1,2,15.82,76.61,1_LITE
37,6,21.2,0,4,1,1,12.59,162.74,noop
38,6,63.5,0,4,1,1,16.24,85.32,noop
39,6,60.1,0,4,1,1,15.5,85.99,0_OFFLOAD
40,7,75.4,1,4,0,2,13.37,97.4,noop
41,7,59.2,1,4,0,2,13.81,97.02,noop
42,7,53.0,1,4,0,2,13.66,96.26,6_LITE
43,7,35.9,0,5,0,2,13.23,144.14,noop
44,7,24.3,0,5,0,2,13.69,107.29,noop
45,7,51.7,0,5,0,2,14.01,97.15,5_SKIP
46,7,22.4,0,4,1,2,13.8,92.5,noop
47,7,39.0,0,4,1,2,13.76,91.96,noop
48,7,48.0,0,4,1,2,14.51,83.81,1_SKIP
49,7,12.2,0,3,2,2,11.71,113.81,noop
50,7,27.6,0,3,2,2,11.72,106.29,noop
51,7,31.2,0,3,2,2,11.79,124.19,0_LITE
52,7,22.8,0,4,2,1,11.43,129.76,noop
53,7,21.5,0,4,2,1,11.37,138.46,noop
54,7,12.3,0,4,2,1,10.3,166.1,4_OFFLOAD
55,7,23.8,0,3,2,2,10.57,143.27,noop
56,7,23.0,0,3,2,2,11.69,130.26,noop
57,7,31.1,0,3,2,2,11.16,139.55,noop
58,7,34.2,0,3,2,2,11.05,128.35,2_LITE
59,7,10.7,0,4,2,1,10.82,149.5,noop
