step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,46.0,4,0,0,0,12.2,298.73,noop
1,4,89.9,4,0,0,0,14.17,90.27,noop
2,4,64.7,4,0,0,0,16.39,68.68,noop
3,4,60.8,4,0,0,0,12.14,165.65,noop
4,4,71.9,4,0,0,0,14.75,88.48,noop
5,4,21.2,4,0,0,0,16.45,68.21,noop
6,4,39.1,4,0,0,0,16.05,71.22,noop
7,4,52.6,4,0,0,0,16.16,70.39,3_LITE
8,4,39.3,3,1,0,0,15.43,91.64,noop
9,4,47.8,3,1,0,0,16.47,69.93,noop
10,4,64.1,3,1,0,0,16.73,70.78,noop
11,4,71.9,3,1,0,0,15.63,78.74,noop
12,4,30.4,3,1,0,0,16.45,72.21,noop
13,4,41.6,3,1,0,0,16.11,72.14,noop
14,4,23.2,3,1,0,0,14.51,137.21,noop
15,7,38.8,6,1,0,0,8.87,278.95,1_OFFLOAD
16,7,52.2,5,1,0,1,10.47,178.28,6_SKIP
17,7,15.0,4,1,1,1,9.87,148.76,0_OFFLOAD
18,7,54.4,3,1,1,2,11.91,119.11,1_FULL
19,7,47.6,4,1,1,1,10.28,158.93,noop
20,7,45.6,4,1,1,1,10.88,141.54,noop
21,7,36.5,4,1,1,1,9.93,171.98,noop
22,7,35.4,4,1,1,1,10.75,133.15,noop
23,7,53.4,4,1,1,1,11.73,115.54,noop
24,7,32.7,4,1,1,1,10.54,146.03,noop
25,7,74.9,4,1,1,1,10.88,139.06,noop
26,7,28.4,4,1,1,1,10.88,118.01,noop
27,7,52.8,4,1,1,1,10.85,120.3,noop
28,7,59.8,4,1,1,1,9.94,160.79,4_OFFLOAD
29,7,29.5,3,1,1,2,11.29,145.42,noop
30,7,52.4,3,1,1,2,10.74,124.89,noop
31,7,38.7,3,1,1,2,10.56,144.56,noop
32,7,63.9,3,1,1,2,10.72,127.58,noop
33,7,30.9,3,1,1,2,11.09,126.6,noop
34,7,43.3,3,1,1,2,11.65,113.04,noop
35,4,66.6,2,1,0,1,17.51,71.47,noop
36,4,75.2,2,1,0,1,18.27,65.09,noop
37,4,56.5,2,1,0,1,18.21,67.08,noop
38,4,79.7,2,1,0,1,17.99,66.39,noop
39,4,54.4,2,1,0,1,18.58,67.12,noop
40,4,46.0,2,1,0,1,18.07,64.84,noop
41,4,45.7,2,1,0,1,18.54,64.82,noop
42,4,63.4,2,1,0,1,18.04,68.03,noop
43,4,56.4,2,1,0,1,18.06,66.53,noop
44,4,45.6,2,1,0,1,18.34,65.34,noop
45,4,52.7,2,1,0,1,18.32,66.08,noop
46,4,84.1,2,1,0,1,17.62,66.72,noop
47,4,54.8,2,1,0,1,17.72,67.26,noop
48,4,51.6,2,1,0,1,18.3,65.73,noop
49,4,55.4,2,1,0,1,18.56,65.31,noop
50,4,54.2,2,1,0,1,18.46,64.36,noop
51,4,71.8,2,1,0,1,18.07,67.19,noop
52,4,62.8,2,1,0,1,17.85,67.51,noop
53,4,45.4,2,1,0,1,18.58,63.2,noop
54,4,41.5,2,1,0,1,18.24,67.53,noop
55,4,60.6,2,1,0,1,18.04,66.57,noop
56,4,51.8,2,1,0,1,18.38,64.94,noop
57,4,78.8,2,1,0,1,17.68,66.15,noop
58,4,65.4,2,1,0,1,18.1,66.12,noop
