step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,69.4,3,0,0,0,14.77,258.76,noop
1,3,35.2,3,0,0,0,16.43,67.66,2_OFFLOAD
2,3,49.6,2,0,0,1,15.93,106.63,1_LITE
3,3,54.9,1,1,0,1,18.55,76.41,noop
4,3,76.7,1,1,0,1,20.08,60.31,noop
5,3,59.7,1,1,0,1,20.1,60.15,noop
6,3,66.5,1,1,0,1,20.01,60.83,noop
7,3,64.4,1,1,0,1,20.06,61.65,noop
8,3,61.4,1,1,0,1,19.99,62.76,noop
9,3,51.7,1,1,0,1,20.07,61.92,noop
10,6,41.3,4,1,0,1,12.16,194.7,noop
11,6,13.6,4,1,0,1,12.11,123.67,4_LITE
12,6,71.2,3,2,0,1,13.1,140.65,noop
13,6,58.0,3,2,0,1,14.82,85.06,noop
14,6,47.0,3,2,0,1,14.73,92.29,noop
15,6,52.0,3,2,0,1,14.91,81.45,noop
16,6,54.4,3,2,0,1,15.31,78.61,noop
17,6,43.7,3,2,0,1,15.78,73.98,noop
18,6,47.3,3,2,0,1,15.16,80.65,noop
19,6,41.3,3,2,0,1,15.74,74.34,1_SKIP
20,6,42.6,3,1,1,1,12.1,110.05,noop
21,6,42.2,3,1,1,1,12.03,119.78,1_LITE
22,6,76.8,3,2,0,1,13.92,100.98,noop
23,6,62.7,3,2,0,1,15.38,76.21,noop
24,6,61.5,3,2,0,1,14.51,85.38,noop
25,6,57.2,3,2,0,1,15.01,77.83,noop
26,6,55.2,3,2,0,1,15.45,79.84,noop
27,6,60.9,3,2,0,1,14.62,83.45,noop
28,6,67.6,3,2,0,1,14.83,80.05,noop
29,6,37.2,3,2,0,1,14.84,88.73,noop
30,3,59.5,1,1,0,1,19.77,69.33,noop
31,3,63.2,1,1,0,1,18.86,74.01,noop
32,3,54.5,1,1,0,1,20.26,60.17,noop
33,3,61.8,1,1,0,1,20.03,59.93,noop
34,3,54.0,1,1,0,1,20.19,60.03,noop
35,3,62.0,1,1,0,1,20.03,58.6,noop
36,3,74.2,1,1,0,1,20.14,59.81,noop
37,3,43.8,1,1,0,1,20.12,62.5,noop
38,3,60.0,1,1,0,1,20.28,59.66,noop
39,3,59.7,1,1,0,1,20.27,58.9,noop
40,3,67.8,1,1,0,1,20.62,57.02,noop
41,3,55.5,1,1,0,1,20.46,58.13,noop
42,3,63.5,1,1,0,1,20.63,58.31,noop
