step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,37.6,4,0,0,0,9.23,334.66,noop
1,4,64.8,4,0,0,0,15.2,83.85,noop
2,4,71.0,4,0,0,0,16.13,69.95,noop
3,4,58.1,4,0,0,0,12.36,164.26,3_LITE
4,4,33.4,3,1,0,0,15.74,93.43,3_OFFLOAD
5,4,56.4,3,0,0,1,17.09,75.9,noop
6,4,44.5,3,0,0,1,17.8,68.09,noop
7,4,36.0,3,0,0,1,16.79,71.14,noop
8,4,48.4,3,0,0,1,17.05,68.61,noop
9,4,65.7,3,0,0,1,17.09,68.78,noop
10,4,64.4,3,0,0,1,17.16,68.74,noop
11,4,62.8,3,0,0,1,17.43,68.99,noop
12,4,59.3,3,0,0,1,17.09,69.78,noop
13,4,80.9,3,0,0,1,17.11,68.91,noop
14,4,49.6,3,0,0,1,17.3,68.61,3_LITE
15,7,74.7,6,1,0,0,8.77,279.77,0_LITE
16,7,82.7,5,2,0,0,10.01,169.13,0_OFFLOAD
17,7,39.8,5,1,0,1,10.06,125.17,2_LITE
18,7,69.9,4,2,0,1,11.43,113.45,2_OFFLOAD
19,7,51.2,4,1,0,2,12.41,115.85,noop
20,7,15.6,4,1,0,2,12.68,92.31,noop
21,7,7.2,4,1,0,2,12.59,90.73,noop
22,7,34.9,4,1,0,2,12.79,96.78,noop
23,7,34.8,4,1,0,2,12.61,114.57,4_LITE
24,7,46.2,3,2,0,2,14.03,92.33,noop
25,7,37.6,3,2,0,2,13.99,84.06,noop
26,7,47.8,3,2,0,2,13.81,91.63,noop
27,7,44.2,3,2,0,2,13.63,94.96,noop
28,7,49.9,3,2,0,2,14.06,84.38,0_LITE
29,7,69.6,3,3,0,1,13.42,130.16,0_OFFLOAD
30,7,57.1,3,2,0,2,13.28,105.71,noop
31,7,41.2,3,2,0,2,13.41,88.58,noop
32,7,51.4,3,2,0,2,13.54,98.32,noop
33,7,59.6,3,2,0,2,14.04,91.59,noop
34,7,49.6,3,2,0,2,13.67,86.89,0_LITE
35,4,36.3,1,2,0,1,18.75,71.66,2_LITE
36,4,62.4,1,3,0,0,19.17,63.73,noop
37,4,77.2,1,3,0,0,19.38,58.31,noop
38,4,71.2,1,3,0,0,19.16,60.17,noop
39,4,44.8,1,3,0,0,19.22,60.64,0_FULL
40,4,57.8,2,2,0,0,19.37,61.42,2_FULL
41,4,54.9,3,1,0,0,15.96,74.63,3_FULL
42,4,77.6,4,0,0,0,16.58,69.3,noop
43,4,41.2,4,0,0,0,16.25,69.89,noop
44,4,28.0,4,0,0,0,16.27,69.76,noop
45,4,33.4,4,0,0,0,16.16,72.5,noop
46,4,53.7,4,0,0,0,15.94,71.36,noop
47,4,34.6,4,0,0,0,15.93,72.62,noop
48,4,41.6,4,0,0,0,16.52,74.36,noop
49,4,25.8,4,0,0,0,16.51,69.24,noop
50,4,66.7,4,0,0,0,16.58,70.6,noop
51,4,73.8,4,0,0,0,16.38,68.34,noop
52,4,43.6,4,0,0,0,16.06,69.86,noop
53,4,40.9,4,0,0,0,16.11,68.82,noop
54,4,43.8,4,0,0,0,16.16,71.08,noop
55,4,53.2,4,0,0,0,16.02,70.34,noop
56,4,69.2,4,0,0,0,16.26,69.67,noop
57,4,59.4,4,0,0,0,16.2,70.6,noop
58,4,47.5,4,0,0,0,16.07,68.8,noop
59,4,56.4,4,0,0,0,16.18,69.03,noop
