step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,59.6,3,0,0,0,15.11,262.82,noop
1,3,64.8,3,0,0,0,16.38,69.27,noop
2,3,71.2,3,0,0,0,18.26,67.66,noop
3,3,71.8,3,0,0,0,18.77,59.76,noop
4,3,84.4,3,0,0,0,19.02,59.63,noop
5,3,66.3,3,0,0,0,19.33,58.76,noop
6,3,75.5,3,0,0,0,19.8,57.78,noop
7,3,52.0,3,0,0,0,19.54,57.05,noop
8,3,61.7,3,0,0,0,18.79,59.45,noop
9,3,71.9,3,0,0,0,18.65,60.47,noop
10,6,26.5,6,0,0,0,5.2,367.7,0_OFFLOAD
11,6,67.4,5,0,0,1,11.27,141.79,3_LITE
12,6,49.5,4,1,0,1,11.83,142.46,5_LITE
13,6,69.6,3,2,0,1,13.79,110.76,1_LITE
14,6,52.7,2,3,0,1,15.01,119.02,2_LITE
15,6,68.2,1,4,0,1,14.45,132.57,4_LITE
16,6,31.0,0,5,0,1,13.6,136.81,0_LITE
17,6,27.5,0,6,0,0,11.68,186.75,noop
18,6,44.8,0,6,0,0,13.9,115.4,noop
19,6,37.5,0,6,0,0,14.59,93.73,noop
20,6,32.8,0,6,0,0,14.61,91.11,noop
21,6,56.3,0,6,0,0,14.64,96.49,noop
22,6,63.8,0,6,0,0,13.54,115.33,noop
23,6,27.4,0,6,0,0,14.65,95.76,noop
24,6,76.8,0,6,0,0,13.46,112.1,noop
25,6,30.2,0,6,0,0,14.42,106.13,noop
26,6,73.1,0,6,0,0,14.54,97.89,noop
27,6,64.2,0,6,0,0,13.89,117.89,noop
28,6,40.0,0,6,0,0,14.31,95.41,noop
29,6,67.3,0,6,0,0,13.96,119.0,noop
30,3,40.0,0,3,0,0,22.26,68.64,noop
31,3,33.3,0,3,0,0,23.38,46.63,noop
32,3,40.3,0,3,0,0,23.25,46.81,noop
33,3,44.4,0,3,0,0,23.3,47.08,noop
34,3,61.3,0,3,0,0,22.87,48.71,noop
35,3,34.9,0,3,0,0,23.48,45.76,noop
36,3,60.5,0,3,0,0,23.93,45.99,noop
37,3,52.6,0,3,0,0,23.39,46.58,noop
38,3,57.3,0,3,0,0,23.17,47.21,noop
39,3,52.4,0,3,0,0,23.38,47.48,noop
40,3,70.9,0,3,0,0,23.33,46.55,noop
41,3,55.2,0,3,0,0,23.35,46.58,noop
42,3,63.2,0,3,0,0,23.47,47.17,noop
43,3,54.1,0,3,0,0,23.6,47.23,noop
44,3,60.7,0,3,0,0,23.6,45.42,noop
45,3,41.2,0,3,0,0,23.24,46.73,noop
46,3,49.8,0,3,0,0,23.21,49.17,noop
47,3,57.3,0,3,0,0,23.02,49.54,noop
48,3,60.0,0,3,0,0,23.24,47.33,noop
49,3,40.2,0,3,0,0,23.36,46.24,noop
50,6,78.1,3,3,0,0,12.71,128.34,0_OFFLOAD
51,6,75.4,3,2,0,1,14.03,96.22,3_LITE
52,6,48.3,2,3,0,1,16.13,79.61,4_LITE
53,6,50.9,1,4,0,1,16.11,76.2,5_LITE
54,6,25.9,0,5,0,1,17.37,66.82,0_LITE
55,6,45.3,0,6,0,0,14.61,88.19,noop
56,6,27.8,0,6,0,0,14.82,87.32,noop
57,6,65.9,0,6,0,0,13.66,116.56,noop
58,6,41.5,0,6,0,0,15.12,81.02,noop
59,6,60.1,0,6,0,0,14.77,91.52,noop
60,6,27.6,0,6,0,0,13.97,113.34,noop
61,6,39.0,0,6,0,0,14.29,108.09,noop
62,6,51.9,0,6,0,0,14.29,108.2,noop
63,6,42.6,0,6,0,0,14.3,106.94,noop
64,6,78.7,0,6,0,0,14.35,93.44,noop
65,6,48.2,0,6,0,0,14.44,83.83,noop
66,6,25.8,0,6,0,0,14.2,112.83,noop
67,6,50.5,0,6,0,0,14.66,89.62,noop
68,6,71.6,0,6,0,0,15.01,95.15,noop
69,6,41.2,0,6,0,0,14.25,112.82,noop
70,3,49.7,0,3,0,0,22.13,67.41,noop
71,3,57.2,0,3,0,0,23.4,46.56,noop
72,3,53.2,0,3,0,0,23.62,45.4,noop
73,3,32.3,0,3,0,0,23.56,46.89,noop
74,3,59.7,0,3,0,0,23.14,49.15,noop
75,3,57.0,0,3,0,0,23.37,46.29,noop
76,3,67.2,0,3,0,0,23.62,45.42,noop
77,3,59.5,0,3,0,0,23.43,46.41,noop
78,3,56.9,0,3,0,0,23.17,46.9,noop
79,3,67.5,0,3,0,0,23.33,46.82,noop
80,3,50.4,0,3,0,0,23.26,47.6,noop
81,3,56.3,0,3,0,0,23.23,47.53,noop
82,3,65.2,0,3,0,0,23.66,46.45,noop
83,3,50.6,0,3,0,0,23.38,46.49,noop
84,3,69.2,0,3,0,0,23.29,47.2,noop
85,3,38.9,0,3,0,0,22.81,48.85,noop
86,3,57.4,0,3,0,0,23.32,47.27,noop
87,3,52.4,0,3,0,0,23.16,47.06,noop
88,3,49.2,0,3,0,0,23.46,46.47,noop
89,3,64.6,0,3,0,0,23.42,46.37,noop
90,7,72.6,4,3,0,0,11.06,147.84,noop
91,7,75.9,4,3,0,0,11.08,116.66,3_LITE
92,7,55.0,3,4,0,0,12.48,116.08,5_LITE
93,7,31.9,2,5,0,0,13.87,120.38,6_LITE
94,7,55.3,1,6,0,0,12.9,123.69,4_LITE
95,7,63.0,0,7,0,0,11.02,189.69,noop
