step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,4,35.7,4,0,0,0,9.24,335.02,noop
1,4,41.0,4,0,0,0,14.84,93.95,noop
2,4,58.2,4,0,0,0,16.35,73.1,noop
3,4,76.6,4,0,0,0,16.23,70.5,noop
4,4,61.6,4,0,0,0,16.2,70.28,noop
5,4,50.9,4,0,0,0,16.24,70.56,noop
6,4,53.4,4,0,0,0,15.53,72.62,noop
7,4,57.1,4,0,0,0,16.32,73.17,noop
8,4,79.9,4,0,0,0,16.76,68.37,noop
9,4,23.2,4,0,0,0,12.95,144.44,noop
10,4,54.7,4,0,0,0,15.84,72.27,noop
11,4,69.9,4,0,0,0,15.71,72.07,noop
12,4,30.9,4,0,0,0,15.77,74.61,noop
13,4,39.7,4,0,0,0,15.67,77.26,noop
14,4,67.2,4,0,0,0,15.55,84.04,noop
15,7,32.8,7,0,0,0,8.6,238.11,noop
16,7,50.6,7,0,0,0,7.38,226.81,noop
17,7,51.8,7,0,0,0,7.79,213.72,noop
18,7,98.8,7,0,0,0,9.6,129.27,noop
19,7,4.3,7,0,0,0,8.98,155.42,noop
20,7,4.8,7,0,0,0,9.12,154.68,noop
21,7,41.8,7,0,0,0,9.45,160.9,noop
22,7,97.2,7,0,0,0,9.14,169.29,noop
23,7,74.6,7,0,0,0,9.16,147.18,noop
24,7,32.3,7,0,0,0,9.11,149.29,noop
25,7,99.1,7,0,0,0,9.09,148.54,noop
26,7,99.4,7,0,0,0,9.29,135.18,noop
27,7,66.3,7,0,0,0,8.72,165.66,noop
28,7,35.9,7,0,0,0,8.97,175.17,noop
29,7,45.4,7,0,0,0,8.56,186.08,noop
30,7,75.0,7,0,0,0,8.63,163.66,noop
31,7,90.2,7,0,0,0,8.85,178.45,noop
32,7,59.1,7,0,0,0,8.77,164.08,noop
33,7,79.0,7,0,0,0,9.14,169.35,noop
34,7,86.3,7,0,0,0,8.78,167.82,noop
35,4,45.8,4,0,0,0,14.53,123.61,noop
36,4,52.7,4,0,0,0,15.68,72.44,noop
37,4,74.6,4,0,0,0,15.59,77.39,noop
38,4,69.2,4,0,0,0,16.51,68.62,noop
39,4,55.9,4,0,0,0,16.16,71.84,noop
40,4,67.9,4,0,0,0,15.84,78.09,noop
41,4,50.3,4,0,0,0,16.12,73.23,noop
42,4,29.0,4,0,0,0,16.34,70.89,noop
43,4,85.2,4,0,0,0,15.5,74.18,noop
44,4,41.9,4,0,0,0,16.55,71.3,noop
45,4,37.9,4,0,0,0,16.11,69.83,noop
46,4,41.6,4,0,0,0,16.05,71.19,noop
47,4,68.6,4,0,0,0,16.11,70.77,noop
48,4,41.5,4,0,0,0,15.96,71.95,noop
49,4,35.1,4,0,0,0,16.97,66.37,noop
50,4,53.4,4,0,0,0,16.59,69.46,noop
51,4,32.0,4,0,0,0,16.33,69.78,noop
52,4,49.6,4,0,0,0,16.08,69.97,noop
53,4,52.1,4,0,0,0,16.47,69.29,noop
54,4,50.3,4,0,0,0,16.36,73.37,noop
55,4,52.8,4,0,0,0,16.48,69.93,noop
56,4,54.4,4,0,0,0,16.43,69.66,noop
57,4,64.6,4,0,0,0,15.88,78.19,noop
58,4,42.6,4,0,0,0,15.72,71.02,noop
59,4,66.0,4,0,0,0,16.37,70.66,noop
