step,n_active,gpu_util,n_full,n_lite,n_skip,n_offload,avg_fps,avg_lat_ms,action
0,3,55.6,3,0,0,0,15.34,262.95,noop
1,3,94.1,3,0,0,0,18.53,67.29,noop
2,3,70.6,3,0,0,0,18.76,59.06,noop
3,3,45.7,3,0,0,0,19.11,59.31,noop
4,3,65.9,3,0,0,0,18.67,60.24,noop
5,3,70.2,3,0,0,0,19.65,57.93,noop
6,3,52.4,3,0,0,0,19.83,56.28,noop
7,3,50.9,3,0,0,0,19.76,56.21,noop
8,3,75.8,3,0,0,0,18.65,60.44,noop
9,3,73.3,3,0,0,0,18.62,60.04,noop
10,4,38.2,4,0,0,0,14.31,148.71,noop
11,4,37.2,4,0,0,0,15.73,79.06,noop
12,4,78.9,4,0,0,0,15.22,78.55,noop
13,4,27.4,4,0,0,0,16.07,74.22,noop
14,4,82.4,4,0,0,0,16.43,69.33,noop
15,4,33.1,4,0,0,0,16.24,70.58,noop
16,4,45.6,4,0,0,0,13.13,151.13,noop
17,4,72.6,4,0,0,0,15.33,81.6,noop
18,4,39.2,4,0,0,0,16.12,70.22,noop
19,4,58.8,4,0,0,0,16.31,71.2,noop
20,5,64.3,5,0,0,0,11.3,174.73,noop
21,5,75.6,5,0,0,0,12.71,92.06,noop
22,5,17.8,5,0,0,0,13.28,100.17,noop
23,5,26.4,5,0,0,0,14.24,92.89,noop
24,5,76.6,5,0,0,0,13.67,86.73,noop
25,5,29.4,5,0,0,0,13.82,94.83,noop
26,5,26.6,5,0,0,0,13.93,86.66,noop
27,5,98.6,5,0,0,0,13.79,90.23,noop
28,5,86.4,5,0,0,0,13.65,96.27,noop
29,5,48.8,5,0,0,0,13.65,103.19,noop
30,6,34.5,6,0,0,0,9.44,205.05,noop
31,6,4.4,6,0,0,0,9.72,139.05,noop
32,6,79.3,6,0,0,0,9.67,127.26,noop
33,6,53.8,6,0,0,0,9.56,156.4,noop
34,6,16.4,6,0,0,0,9.88,138.84,noop
35,6,1.3,6,0,0,0,9.35,130.88,noop
36,6,96.2,6,0,0,0,9.6,127.59,noop
37,6,12.0,6,0,0,0,9.85,128.12,noop
38,6,49.6,6,0,0,0,9.87,137.55,noop
39,6,37.9,6,0,0,0,9.71,123.8,noop
40,7,56.7,7,0,0,0,7.69,245.17,noop
41,7,43.7,7,0,0,0,9.41,157.94,noop
42,7,99.5,7,0,0,0,9.59,137.49,noop
43,7,83.3,7,0,0,0,9.15,166.57,noop
44,7,75.2,7,0,0,0,9.44,153.28,noop
45,7,99.4,7,0,0,0,9.43,156.4,noop
46,7,14.3,7,0,0,0,9.42,143.51,noop
47,7,88.4,7,0,0,0,9.35,140.44,noop
48,7,50.2,7,0,0,0,9.66,160.8,noop
49,7,75.1,7,0,0,0,9.31,170.95,noop
50,7,62.8,7,0,0,0,9.82,139.77,noop
51,7,78.0,7,0,0,0,9.66,149.18,noop
52,7,85.2,7,0,0,0,9.56,149.02,noop
53,7,74.8,7,0,0,0,9.77,142.0,noop
54,7,42.1,7,0,0,0,9.98,143.44,noop
55,7,53.9,7,0,0,0,9.48,148.59,noop
56,7,73.7,7,0,0,0,9.66,139.25,noop
57,7,77.3,7,0,0,0,9.69,140.94,noop
58,7,67.4,7,0,0,0,9.8,148.83,noop
59,7,51.9,7,0,0,0,9.93,159.12,noop
