run_id,controller,scenario,slo_satisfaction_rate,slo_violations,total_windows,n_mode_switches,skip_ratio,offload_ratio,avg_fps,avg_latency_ms,steps
1,noop,scenario_ramp_up,0.4656,171,320,0,0.0,0.0,11.11,137.57,60
1,heuristic,scenario_ramp_up,0.868,40,303,21,0.0531,0.1187,13.72,104.37,60
1,myopic,scenario_ramp_up,0.9125,28,320,9,0.0,0.0063,14.14,109.09,60
1,dqn,scenario_ramp_up,0.7987,63,313,16,0.0,0.1054,12.96,116.31,59
1,aif,scenario_ramp_up,0.7992,53,264,20,0.175,0.1812,14.38,112.1,60
1,noop,scenario_burst,0.5667,130,300,0,0.0,0.0,12.83,123.21,60
1,heuristic,scenario_burst,0.7914,58,278,24,0.0733,0.1267,14.47,111.5,60
1,myopic,scenario_burst,0.83,51,300,7,0.0,0.0,14.83,113.38,60
1,dqn,scenario_burst,0.8176,54,296,32,0.0,0.0946,13.66,113.32,59
1,aif,scenario_burst,0.8366,42,257,18,0.1433,0.1667,14.53,112.72,60
1,noop,scenario_steady_overload,0.8426,85,540,0,0.0,0.0,10.92,133.22,90
1,heuristic,scenario_steady_overload,0.8933,56,525,34,0.0278,0.0944,13.27,109.35,90
1,myopic,scenario_steady_overload,0.937,34,540,7,0.0,0.0111,14.1,109.72,90
1,dqn,scenario_steady_overload,0.9697,16,528,31,0.0,0.2973,14.27,92.48,88
1,aif,scenario_steady_overload,0.9253,36,482,28,0.1074,0.2352,15.01,96.37,90
1,noop,scenario_oscillating,0.6517,194,557,0,0.0,0.0,12.86,120.36,119
1,heuristic,scenario_oscillating,0.8598,75,535,34,0.0325,0.0416,14.5,102.94,119
1,myopic,scenario_oscillating,0.9222,43,553,16,0.0,0.0181,16.33,95.76,119
1,dqn,scenario_oscillating,0.9706,15,510,8,0.0676,0.4186,14.17,93.49,118
1,aif,scenario_oscillating,0.8737,63,499,37,0.1041,0.1867,15.29,103.57,119
2,noop,scenario_ramp_up,0.5125,156,320,0,0.0,0.0,11.7,130.92,60
2,heuristic,scenario_ramp_up,0.8524,40,271,16,0.1531,0.1187,13.41,109.05,60
2,myopic,scenario_ramp_up,0.9062,30,320,9,0.0,0.0063,14.22,107.99,60
2,dqn,scenario_ramp_up,0.8513,40,269,18,0.1406,0.1246,13.26,113.23,59
2,aif,scenario_ramp_up,0.912,25,284,16,0.1125,0.1313,15.12,98.23,60
2,noop,scenario_burst,0.53,141,300,0,0.0,0.0,12.64,123.48,60
2,heuristic,scenario_burst,0.869,38,290,22,0.0333,0.1067,14.48,103.01,60
2,myopic,scenario_burst,0.8367,49,300,7,0.0,0.0,15.02,110.47,60
2,dqn,scenario_burst,0.9426,17,296,58,0.0,0.2703,16.49,92.04,59
2,aif,scenario_burst,0.793,53,256,19,0.1467,0.1567,14.95,113.81,60
2,noop,scenario_steady_overload,0.3222,366,540,0,0.0,0.0,9.8,147.24,90
2,heuristic,scenario_steady_overload,0.9075,48,519,39,0.0389,0.087,13.45,107.09,90
2,myopic,scenario_steady_overload,0.9315,37,540,7,0.0,0.0111,14.2,107.06,90
2,dqn,scenario_steady_overload,0.9659,18,528,86,0.0,0.3239,15.16,88.15,88
2,aif,scenario_steady_overload,0.9183,38,465,28,0.1292,0.2247,14.56,102.54,89
2,noop,scenario_oscillating,0.7487,140,557,0,0.0,0.0,13.1,115.92,119
2,heuristic,scenario_oscillating,0.8885,60,538,29,0.0271,0.0488,14.2,102.86,119
2,myopic,scenario_oscillating,0.9264,41,557,16,0.0,0.018,16.38,96.21,119
2,dqn,scenario_oscillating,0.9525,26,547,19,0.0073,0.3884,16.13,85.5,117
2,aif,scenario_oscillating,0.8488,78,516,37,0.0736,0.2316,15.86,97.9,119
3,noop,scenario_ramp_up,0.5094,157,320,0,0.0,0.0,11.58,132.58,60
3,heuristic,scenario_ramp_up,0.9125,28,320,22,0.0,0.0844,14.5,98.44,60
3,myopic,scenario_ramp_up,0.9031,31,320,9,0.0,0.0063,14.14,111.63,60
3,dqn,scenario_ramp_up,0.9649,11,313,30,0.0,0.2971,15.62,87.24,59
3,aif,scenario_ramp_up,0.8897,29,263,19,0.1781,0.2219,15.08,98.54,60
3,noop,scenario_burst,0.54,138,300,0,0.0,0.0,12.54,124.16,60
3,heuristic,scenario_burst,0.9252,22,294,17,0.02,0.1367,14.84,95.57,60
3,myopic,scenario_burst,0.83,51,300,7,0.0,0.0,15.06,110.48,60
3,dqn,scenario_burst,0.7421,57,221,11,0.2457,0.3686,13.61,113.79,59
3,aif,scenario_burst,0.7679,55,237,20,0.21,0.1633,14.15,118.38,60
3,noop,scenario_steady_overload,0.9074,50,540,0,0.0,0.0,10.99,128.77,90
3,heuristic,scenario_steady_overload,0.9204,43,540,32,0.0,0.0481,12.73,111.79,90
3,myopic,scenario_steady_overload,0.9426,31,540,7,0.0,0.0111,14.21,107.67,90
3,dqn,scenario_steady_overload,0.9451,29,528,87,0.0,0.197,15.53,91.71,88
3,aif,scenario_steady_overload,0.8947,50,475,28,0.1105,0.2079,14.61,103.1,89
3,noop,scenario_oscillating,0.7092,162,557,0,0.0,0.0,12.87,118.12,119
3,heuristic,scenario_oscillating,0.8477,78,512,36,0.0741,0.0778,14.13,109.64,119
3,myopic,scenario_oscillating,0.9336,37,557,16,0.0,0.018,16.25,98.06,119
3,dqn,scenario_oscillating,0.9617,21,549,13,0.0036,0.2777,15.05,92.42,117
3,aif,scenario_oscillating,0.8623,69,501,34,0.1005,0.2388,15.87,97.99,119
4,noop,scenario_ramp_up,0.5062,158,320,0,0.0,0.0,11.73,129.39,60
4,heuristic,scenario_ramp_up,0.7881,57,269,17,0.1594,0.0906,13.02,122.02,60
4,myopic,scenario_ramp_up,0.8938,34,320,9,0.0,0.0063,14.19,109.71,60
4,dqn,scenario_ramp_up,0.8487,41,271,19,0.1342,0.0543,13.23,116.3,59
4,aif,scenario_ramp_up,0.875,33,264,20,0.175,0.2125,15.0,100.23,60
4,noop,scenario_burst,0.5433,137,300,0,0.0,0.0,12.63,125.54,60
4,heuristic,scenario_burst,0.8833,35,300,17,0.0,0.1033,14.91,100.25,60
4,myopic,scenario_burst,0.83,51,300,7,0.0,0.0,15.04,111.21,60
4,dqn,scenario_burst,0.646,80,226,58,0.2287,0.1365,12.63,136.42,59
4,aif,scenario_burst,0.6984,76,252,19,0.16,0.1567,14.44,119.0,60
4,noop,scenario_steady_overload,0.8315,91,540,0,0.0,0.0,10.92,131.46,90
4,heuristic,scenario_steady_overload,0.9241,41,540,31,0.0,0.0556,12.96,109.37,90
4,myopic,scenario_steady_overload,0.9315,37,540,7,0.0,0.0111,14.26,107.74,90
4,dqn,scenario_steady_overload,0.9539,24,521,87,0.0133,0.2443,15.21,93.44,88
4,aif,scenario_steady_overload,0.9307,32,462,28,0.1348,0.2547,14.76,97.22,89
4,noop,scenario_oscillating,0.702,166,557,0,0.0,0.0,12.94,118.82,119
4,heuristic,scenario_oscillating,0.8563,76,529,29,0.0434,0.0741,14.4,104.84,119
4,myopic,scenario_oscillating,0.9403,33,553,16,0.0,0.0181,16.42,94.46,119
4,dqn,scenario_oscillating,0.8675,73,551,79,0.0,0.1869,14.93,99.95,117
4,aif,scenario_oscillating,0.9354,33,511,37,0.0826,0.2388,16.0,94.43,119
5,noop,scenario_ramp_up,0.4531,175,320,0,0.0,0.0,11.75,128.76,60
5,heuristic,scenario_ramp_up,0.8952,33,315,17,0.0156,0.1,14.01,103.4,60
5,myopic,scenario_ramp_up,0.8969,33,320,9,0.0,0.0063,14.23,108.53,60
5,dqn,scenario_ramp_up,0.8083,60,313,2,0.0,0.1661,13.55,109.09,59
5,aif,scenario_ramp_up,0.8773,33,269,18,0.1594,0.2188,14.98,100.13,60
5,noop,scenario_burst,0.5167,145,300,0,0.0,0.0,12.56,123.24,60
5,heuristic,scenario_burst,0.91,27,300,15,0.0,0.1467,14.78,94.55,60
5,myopic,scenario_burst,0.8233,53,300,7,0.0,0.0,15.0,112.02,60
5,dqn,scenario_burst,0.7734,63,278,6,0.0608,0.1689,14.26,109.19,59
5,aif,scenario_burst,0.7913,53,254,20,0.1533,0.1233,15.04,110.55,60
5,noop,scenario_steady_overload,0.9019,53,540,0,0.0,0.0,10.96,129.19,90
5,heuristic,scenario_steady_overload,0.8971,54,525,36,0.0278,0.113,13.31,108.17,90
5,myopic,scenario_steady_overload,0.9296,38,540,7,0.0,0.0111,14.2,109.35,90
5,dqn,scenario_steady_overload,0.9084,47,513,87,0.0284,0.1572,14.92,100.96,88
5,aif,scenario_steady_overload,0.9358,31,483,29,0.0955,0.2191,15.17,96.47,89
5,noop,scenario_oscillating,0.6817,176,553,0,0.0,0.0,13.0,118.87,119
5,heuristic,scenario_oscillating,0.8663,71,531,35,0.0398,0.0398,14.76,100.78,119
5,myopic,scenario_oscillating,0.9277,40,553,16,0.0,0.0181,16.37,96.96,119
5,dqn,scenario_oscillating,0.9435,31,549,7,0.0036,0.2087,15.66,89.75,117
5,aif,scenario_oscillating,0.8373,81,498,38,0.1059,0.2083,15.56,103.37,119
